case_id,case_name,particle_diameter,particle_radius,N_target,target_fractal_dimension,r_sigma_mult,realization,random_seed,max_try,csv_file,sys_file,vtk_file
1,case_001_dp1_N50_Df1.8_rep01,1.0,0.5,50,1.8,12.0,1,1029,200,case_001_dp1_N50_Df1.8_rep01/particles.csv,case_001_dp1_N50_Df1.8_rep01/particles.sys,case_001_dp1_N50_Df1.8_rep01/particles.vtk
2,case_002_dp1_N50_Df1.8_rep02,1.0,0.5,50,1.8,12.0,2,1030,200,case_002_dp1_N50_Df1.8_rep02/particles.csv,case_002_dp1_N50_Df1.8_rep02/particles.sys,case_002_dp1_N50_Df1.8_rep02/particles.vtk
3,case_003_dp1_N50_Df1.8_rep03,1.0,0.5,50,1.8,12.0,3,1031,200,case_003_dp1_N50_Df1.8_rep03/particles.csv,case_003_dp1_N50_Df1.8_rep03/particles.sys,case_003_dp1_N50_Df1.8_rep03/particles.vtk
4,case_004_dp1_N50_Df2.2_rep01,1.0,0.5,50,2.2,8.0,1,1032,200,case_004_dp1_N50_Df2.2_rep01/particles.csv,case_004_dp1_N50_Df2.2_rep01/particles.sys,case_004_dp1_N50_Df2.2_rep01/particles.vtk
5,case_005_dp1_N50_Df2.2_rep02,1.0,0.5,50,2.2,8.0,2,1033,200,case_005_dp1_N50_Df2.2_rep02/particles.csv,case_005_dp1_N50_Df2.2_rep02/particles.sys,case_005_dp1_N50_Df2.2_rep02/particles.vtk
6,case_006_dp1_N50_Df2.2_rep03,1.0,0.5,50,2.2,8.0,3,1034,200,case_006_dp1_N50_Df2.2_rep03/particles.csv,case_006_dp1_N50_Df2.2_rep03/particles.sys,case_006_dp1_N50_Df2.2_rep03/particles.vtk
7,case_007_dp1_N50_Df2.6_rep01,1.0,0.5,50,2.6,5.0,1,1035,200,case_007_dp1_N50_Df2.6_rep01/particles.csv,case_007_dp1_N50_Df2.6_rep01/particles.sys,case_007_dp1_N50_Df2.6_rep01/particles.vtk
8,case_008_dp1_N50_Df2.6_rep02,1.0,0.5,50,2.6,5.0,2,1036,200,case_008_dp1_N50_Df2.6_rep02/particles.csv,case_008_dp1_N50_Df2.6_rep02/particles.sys,case_008_dp1_N50_Df2.6_rep02/particles.vtk
9,case_009_dp1_N50_Df2.6_rep03,1.0,0.5,50,2.6,5.0,3,1037,200,case_009_dp1_N50_Df2.6_rep03/particles.csv,case_009_dp1_N50_Df2.6_rep03/particles.sys,case_009_dp1_N50_Df2.6_rep03/particles.vtk
10,case_010_dp1_N100_Df1.8_rep01,1.0,0.5,100,1.8,12.0,1,1038,200,case_010_dp1_N100_Df1.8_rep01/particles.csv,case_010_dp1_N100_Df1.8_rep01/particles.sys,case_010_dp1_N100_Df1.8_rep01/particles.vtk
