id_i,id_j
1,2
2,3
2,5
4,5
5,6
5,10
7,9
8,9
8,12
8,19
10,12
11,12
13,15
13,77
14,15
14,29
15,16
16,18
17,18
17,20
19,20
20,21
21,23
22,23
22,25
24,25
26,28
27,28
27,36
28,29
29,31
30,31
32,34
33,34
34,35
35,37
36,37
36,50
38,39
39,40
40,43
41,43
41,48
42,43
44,46
44,47
45,46
47,48
47,49
49,50
51,53
52,53
52,54
54,56
54,61
55,56
57,59
57,60
57,92
58,59
59,73
60,62
61,62
63,65
64,65
64,67
66,68
67,68
67,72
69,71
70,71
70,75
72,73
72,75
74,75
76,77
77,78
78,80
79,80
79,87
80,81
82,84
83,84
83,87
83,96
85,86
86,87
88,89
89,90
90,93
90,98
91,92
92,93
94,96
95,96
96,97
97,98
97,100
99,100
