x_m,y_m,z_m,radius_m
1.1301860881941481e-06,3.3368541852358999e-06,2.2057862684121682e-06,4.9999999999999998e-07
2.0129393061682643e-06,3.6042764719440053e-06,1.8194805905764036e-06,4.9999999999999998e-07
1.9431442172940257e-06,4.254514646334493e-06,2.5759982454492848e-06,4.9999999999999998e-07
3.4608653245725208e-06,3.671402886111366e-06,1.7197360756200024e-06,4.9999999999999998e-07
2.6814993091946533e-06,3.8818250315439185e-06,1.1295571749588676e-06,4.9999999999999998e-07
2.2182259138431113e-06,4.738421192672872e-06,1.3567592389868895e-06,4.9999999999999998e-07
3.8560142927952638e-06,3.3434179999909589e-06,-2.62567083055206e-06,4.9999999999999998e-07
3.4677462627919501e-06,3.7255751345916781e-06,-8.183617576040562e-07,4.9999999999999998e-07
3.8234407337588873e-06,3.2614375540691826e-06,-1.6295693448899962e-06,4.9999999999999998e-07
3.0612284478275054e-06,4.2399303839906944e-06,2.7658218246370536e-07,4.9999999999999998e-07
3.8494745916528168e-06,2.7501483455870591e-06,2.7982551065261597e-07,4.9999999999999998e-07
3.8992318763228355e-06,3.7294738602843376e-06,8.3749635325800931e-08,4.9999999999999998e-07
-5.7581425777278384e-07,7.085551595392117e-07,-1.827460440972254e-06,4.9999999999999998e-07
2.3866273105129907e-07,3.2659571254131756e-07,-2.7700320945068178e-06,4.9999999999999998e-07
3.9846853703436935e-07,8.9078259163740401e-07,-1.9599979780463335e-06,4.9999999999999998e-07
1.1025127800118119e-06,1.4117189028845196e-06,-1.4773520793228834e-06,4.9999999999999998e-07
2.1893340644691985e-06,2.2376889107790649e-06,-1.2913761508975325e-06,4.9999999999999998e-07
1.9437887335552331e-06,1.3332715747586258e-06,-9.4246817911694513e-07,4.9999999999999998e-07
2.7538074460374477e-06,3.228359107472837e-06,-1.3113806094822943e-06,4.9999999999999998e-07
1.7577824433624749e-06,3.1397056453830218e-06,-1.3027343556224831e-06,4.9999999999999998e-07
1.6642162158175551e-06,2.6916641264032386e-06,-2.1918373633405429e-06,4.9999999999999998e-07
8.3568836665398603e-08,2.6033034984558692e-06,-2.2255969767548346e-06,4.9999999999999998e-07
8.5554231889505684e-07,3.1223754596720808e-06,-2.5925046515360679e-06,4.9999999999999998e-07
-3.4379993479434122e-07,2.9700405581571326e-06,-9.039773204039689e-07,4.9999999999999998e-07
-1.5748687764502667e-07,3.4542236018297139e-06,-1.7588774461237106e-06,4.9999999999999998e-07
8.2135742321489058e-07,1.5435189025945901e-06,-3.9626199173217981e-06,4.9999999999999998e-07
6.9984673648828832e-07,4.2913328581878772e-07,-4.4749125831865181e-06,4.9999999999999998e-07
1.9911943375329677e-07,8.0737687880816967e-07,-3.6963215784489722e-06,4.9999999999999998e-07
-4.5429145940808377e-07,1.0194018706942946e-06,-2.9696169565332089e-06,4.9999999999999998e-07
-1.7889536774390379e-06,-1.7871460132059591e-07,-3.3748125856105677e-06,4.9999999999999998e-07
-1.0773142860796279e-06,5.0037903571029513e-07,-3.5548159433841508e-06,4.9999999999999998e-07
2.1090660733515148e-06,-1.2354375346509982e-06,-5.4042582224145298e-06,4.9999999999999998e-07
3.2867790747641458e-06,-1.8588779208315768e-06,-6.0007435283322897e-06,4.9999999999999998e-07
2.3420535705136771e-06,-1.6746099070306493e-06,-6.2719243180437996e-06,4.9999999999999998e-07
1.9309262688578339e-06,-8.5350831468237392e-07,-6.6678618344227249e-06,4.9999999999999998e-07
8.2970497399482803e-07,1.6136971380213283e-07,-5.4296059934772663e-06,4.9999999999999998e-07
1.4695826972228623e-06,-1.4440708137050151e-07,-6.1346287242104378e-06,4.9999999999999998e-07
8.8559556643380882e-07,-3.6687893922300922e-06,-6.069238169327109e-06,4.9999999999999998e-07
-1.0973919606821081e-07,-3.6384786852929697e-06,-6.1608349574805184e-06,4.9999999999999998e-07
-8.2669967301197772e-07,-3.0921993450462631e-06,-5.7277684996242343e-06,4.9999999999999998e-07
-4.6734135252210484e-07,-2.335764046260906e-06,-7.2716125758060098e-06,4.9999999999999998e-07
-1.2729867944997601e-06,-1.9362096608941259e-06,-6.5178404794252348e-06,4.9999999999999998e-07
-1.0492886627944445e-06,-2.8967905516324948e-06,-6.6828965251183017e-06,4.9999999999999998e-07
5.1717425039434093e-07,-1.3518006443528406e-06,-6.4009088821122401e-06,4.9999999999999998e-07
9.2235410991301695e-07,-2.1365983608551276e-06,-6.9262184914418803e-06,4.9999999999999998e-07
1.2576115455383816e-06,-1.9013496517934411e-06,-6.0139353683146817e-06,4.9999999999999998e-07
-3.8353026001974962e-07,-9.1746228971414142e-07,-6.4099409698809491e-06,4.9999999999999998e-07
-5.8689269570554289e-07,-1.3431386196722684e-06,-7.2916684685251269e-06,4.9999999999999998e-07
-6.3564717623542034e-07,-1.153260914927375e-06,-5.471412297487054e-06,4.9999999999999998e-07
1.6667808578385223e-07,-5.7797560761700912e-07,-5.312286595230867e-06,4.9999999999999998e-07
3.9791430080291156e-07,1.1741734143775523e-06,4.1295066537060751e-06,4.9999999999999998e-07
-8.1598379697490391e-08,1.1225160729739902e-07,5.5802257673682683e-06,4.9999999999999998e-07
4.2782067578122017e-07,4.088260092480128e-07,4.7724288559958528e-06,4.9999999999999998e-07
-8.7359927893434364e-07,-4.6053345931136188e-08,6.1698647394446797e-06,4.9999999999999998e-07
2.2815651583091511e-07,2.5664642175379061e-07,6.8961644720291879e-06,4.9999999999999998e-07
-2.13989685452862e-07,-6.103514029222462e-07,6.6663351686378536e-06,4.9999999999999998e-07
-1.9775729237331897e-06,-1.4637324444621499e-06,5.1533335009350636e-06,4.9999999999999998e-07
-3.0654907471802263e-06,-1.323029777601171e-06,4.6845023083857008e-06,4.9999999999999998e-07
-2.3060184323431059e-06,-6.7440732539332859e-07,4.6345952198327674e-06,4.9999999999999998e-07
-1.4359420026167372e-06,-1.826542126527567e-06,5.9116243949131825e-06,4.9999999999999998e-07
-1.4752655813334492e-06,-2.1780587123227977e-07,6.949928025729882e-06,4.9999999999999998e-07
-1.7167730498750034e-06,-9.6060155661181348e-07,6.3254853042411925e-06,4.9999999999999998e-07
-3.6729978344338319e-06,1.5669363813859765e-06,2.8712940626617667e-06,4.9999999999999998e-07
-2.1773234050180896e-06,1.5486091538529111e-06,3.0672561608191313e-06,4.9999999999999998e-07
-2.8401334563725191e-06,1.6970885778342838e-06,2.3333374347481179e-06,4.9999999999999998e-07
-3.6508150143565101e-06,7.5488145383424309e-07,2.1249153592582863e-06,4.9999999999999998e-07
-2.2580421713782413e-06,5.7528522361429253e-07,3.2820234944202719e-06,4.9999999999999998e-07
-2.887045322282482e-06,2.8051436745749602e-07,2.5626729689369525e-06,4.9999999999999998e-07
-3.9681146051019765e-06,1.9465449892576072e-06,5.527502518679755e-06,4.9999999999999998e-07
-3.6794594363365041e-06,1.1065608609530025e-06,3.8217654445927121e-06,4.9999999999999998e-07
-3.9654524575875929e-06,1.3069260992351732e-06,4.7588149433300012e-06,4.9999999999999998e-07
-2.8198238982052981e-06,1.8840092524243445e-07,4.0132702592517653e-06,4.9999999999999998e-07
-2.6121537011902358e-06,-7.3285888466376057e-07,3.6844033379548234e-06,4.9999999999999998e-07
-3.0222427432407926e-06,1.6823131366107571e-06,5.1759045084962306e-06,4.9999999999999998e-07
-2.8410382119069349e-06,1.1236897956156503e-06,4.366519012752983e-06,4.9999999999999998e-07
-8.6914461137963213e-07,-1.88622088523258e-07,-7.797302661609637e-07,4.9999999999999998e-07
-5.2391734506230425e-07,-2.8356621095386181e-07,-1.7134345813523123e-06,4.9999999999999998e-07
-1.0402979205092144e-08,-9.8887235022867543e-07,-1.2247155967000678e-06,4.9999999999999998e-07
-6.6884534638766402e-07,-1.607911234576437e-06,-1.8249531460011424e-07,4.9999999999999998e-07
2.9602172349290989e-07,-1.4475419602607191e-06,-3.9061363026581028e-07,4.9999999999999998e-07
2.7397580080190285e-07,-6.5633028688265622e-07,2.2053125043187503e-07,4.9999999999999998e-07
1.6645977579525478e-06,-2.5024329294421646e-06,1.7308052923564253e-07,4.9999999999999998e-07
3.8899114237428777e-07,-2.167246183647597e-06,1.3345617616117206e-06,4.9999999999999998e-07
7.532175514434249e-07,-2.1612604410299188e-06,4.0327056449778095e-07,4.9999999999999998e-07
2.8359949995279333e-07,-1.18284706300546e-06,2.1142672105433243e-06,4.9999999999999998e-07
-1.22526324140219e-07,-9.590676927069451e-07,1.2282736392158741e-06,4.9999999999999998e-07
-3.2543097448556059e-07,-1.8053542905349937e-06,7.3570009424531729e-07,4.9999999999999998e-07
4.0919319473606053e-07,-2.8014929118878997e-06,4.4330742083205668e-06,4.9999999999999998e-07
-1.8755267698650235e-07,-2.3999753946085692e-06,3.7383238589864213e-06,4.9999999999999998e-07
-6.8326356349358013e-07,-2.1040017665978671e-06,2.9218250356433927e-06,4.9999999999999998e-07
-1.8788443103213721e-06,-3.0327186683522134e-06,4.8998742810255851e-06,4.9999999999999998e-07
-1.8062329886783436e-06,-2.1462450095028699e-06,4.4428271848358059e-06,4.9999999999999998e-07
-1.5063896053269151e-06,-2.1062024199577197e-06,3.4896794856396715e-06,4.9999999999999998e-07
1.257819511311415e-06,-3.526277829149821e-06,1.9975928346421355e-06,4.9999999999999998e-07
1.3690882193844849e-06,-2.8192041380292404e-06,2.8092589690530824e-06,4.9999999999999998e-07
6.565254904624349e-07,-2.7355776090716803e-06,2.112652221306788e-06,4.9999999999999998e-07
-3.408072213137756e-07,-2.7567718822352531e-06,2.0428076452383617e-06,4.9999999999999998e-07
-1.1688203348382861e-06,-2.1961467475595198e-06,2.0524897008703934e-06,4.9999999999999998e-07
-9.2040426768712263e-08,-3.9209433052868527e-06,1.7044170782712088e-06,4.9999999999999998e-07
-7.8155431490638522e-07,-3.5990243673159536e-06,2.3532150402292881e-06,4.9999999999999998e-07
