id_i,id_j
1,2
1,6
1,7
2,3
2,4
3,14
3,18
3,22
4,5
4,20
5,8
5,32
6,12
6,25
7,11
7,21
8,9
8,10
9,15
9,29
9,57
10,16
10,24
11,17
12,13
13,154
14,70
15,93
16,19
16,27
16,79
17,23
17,30
17,36
18,33
18,37
19,81
19,116
20,28
20,106
21,50
21,74
22,26
23,82
24,31
25,54
26,53
27,35
27,38
27,39
28,92
29,43
29,98
31,34
31,96
32,42
33,41
36,40
36,45
38,47
39,58
39,67
40,44
40,75
40,100
41,46
41,107
42,48
42,51
42,56
42,129
43,52
44,68
45,71
45,104
46,49
46,125
47,55
48,61
48,65
51,62
52,64
53,178
54,83
55,77
55,114
55,172
56,66
57,59
57,85
58,76
59,60
60,63
61,87
61,150
62,164
63,72
63,78
63,122
64,73
64,94
65,99
65,115
66,84
66,111
67,188
68,69
68,121
68,169
69,134
70,137
71,86
71,88
71,91
72,183
73,112
73,145
74,89
74,95
75,152
75,158
76,105
76,132
77,163
78,80
80,90
80,102
80,117
82,176
83,126
84,144
85,143
85,189
87,147
87,157
88,141
90,110
90,168
91,179
94,97
95,103
95,108
95,109
97,101
97,124
98,123
101,113
101,135
102,127
105,166
107,140
109,119
111,167
112,160
113,131
113,153
114,120
114,175
115,139
116,130
117,118
117,192
119,148
121,128
121,146
123,138
124,184
125,185
126,156
126,173
127,136
130,133
131,170
134,142
134,161
134,190
136,194
138,177
138,195
141,174
144,149
145,151
146,155
147,198
149,159
150,162
154,199
155,181
156,180
158,191
162,186
163,165
164,171
165,187
166,182
166,193
174,200
177,196
194,197
