x_m,y_m,z_m,radius_m
7.6969361538540141e-07,-4.994940231116316e-07,1.1344232380109436e-06,4.9999999999999998e-07
1.1949981883123201e-06,-4.959561140788046e-07,2.293798669799678e-07,4.9999999999999998e-07
1.6647758098246166e-06,-6.813317610542575e-07,-6.3372201335321918e-07,4.9999999999999998e-07
2.3624604893229321e-06,8.9166403056448666e-09,-8.2553763423283201e-07,4.9999999999999998e-07
1.9313593530760704e-06,2.0981832115338354e-07,5.4115891286851951e-08,4.9999999999999998e-07
1.7038947173207361e-06,-1.7767812512112993e-07,1.2883804689011227e-06,4.9999999999999998e-07
2.3837407799242412e-06,6.447095755133899e-07,-1.5971038937153485e-06,4.9999999999999998e-07
1.4844412117324718e-06,-1.8612345301647779e-07,-1.4835738618428819e-06,4.9999999999999998e-07
5.6494915633535548e-07,2.7880954158551372e-07,2.8207138534792506e-07,4.9999999999999998e-07
3.2325178335983845e-06,4.8108842934611566e-07,-9.6714984877191278e-07,4.9999999999999998e-07
4.9107979301962937e-07,1.6403272868687721e-09,1.9537148227580354e-06,4.9999999999999998e-07
-2.2563373410394125e-07,-2.597154710497305e-07,-9.4239046841070281e-09,4.9999999999999998e-07
-6.249039903017357e-07,-1.0362686680021811e-06,4.7796546206353953e-07,4.9999999999999998e-07
1.0045368850562736e-06,1.150266751906274e-06,6.4528379627355051e-08,4.9999999999999998e-07
-1.0631864343984532e-06,-6.4163716934329808e-07,-4.001172506754733e-07,4.9999999999999998e-07
2.23875190077658e-07,1.4037448777730462e-06,6.3576927250896054e-07,4.9999999999999998e-07
2.244361323371914e-06,-7.9371810030801403e-07,-1.7145504158663699e-06,4.9999999999999998e-07
3.5540056348744994e-06,-3.4439780441010462e-07,-5.0323383103852424e-07,4.9999999999999998e-07
1.0780214950722344e-06,-1.2554989128033478e-07,2.7532910146824894e-06,4.9999999999999998e-07
-1.7565665694487958e-06,-1.8207586905137074e-07,1.5488491111451604e-07,4.9999999999999998e-07
1.8852936818522998e-06,1.3160708408049686e-07,2.2220830455455389e-06,4.9999999999999998e-07
-1.9783936954331541e-06,-6.175229730707494e-07,-8.0237857728728027e-07,4.9999999999999998e-07
-2.138861229651685e-06,-1.3954749128287236e-06,-1.4098659844725143e-06,4.9999999999999998e-07
2.7424519368123407e-06,1.5607599606326603e-06,-1.4177216263452827e-06,4.9999999999999998e-07
1.4143031607276466e-06,-8.3518265368808481e-07,1.9839554291059426e-06,4.9999999999999998e-07
2.9498025129033982e-06,1.7055180355995222e-06,-4.5022442307976924e-07,4.9999999999999998e-07
-2.7260043038761055e-06,-1.2626250504971869e-07,3.9378938463325027e-07,4.9999999999999998e-07
6.5595816447133997e-07,-1.2194103777578613e-06,2.5105310862618524e-06,4.9999999999999998e-07
-2.9069299166907547e-06,-1.6294623433855685e-06,-2.0059535403998961e-06,4.9999999999999998e-07
4.27183800328234e-06,3.2171447987570849e-07,-3.007218175935679e-07,4.9999999999999998e-07
-8.1145114777125347e-07,-1.7176385248572633e-06,1.1857332744210412e-06,4.9999999999999998e-07
-2.3098299377868402e-06,-9.1407767097538338e-07,8.4782260076143972e-07,4.9999999999999998e-07
3.7585996620269599e-06,1.8452504988863206e-06,1.2102159246291977e-07,4.9999999999999998e-07
-2.2172964907630582e-06,-1.8343291192857745e-06,1.2280525746779144e-06,4.9999999999999998e-07
-3.4738811901532923e-06,-2.4504657206889095e-06,-1.9387247669787568e-06,4.9999999999999998e-07
-4.2898729521100884e-06,-3.0144375123975545e-06,-2.0655839904336812e-06,4.9999999999999998e-07
3.9898598304654953e-06,1.132994722748993e-06,-1.0052455756064749e-06,4.9999999999999998e-07
3.770078352377827e-06,3.721105060444012e-07,-1.8033032443175025e-06,4.9999999999999998e-07
-4.2524846674141135e-06,-3.1114737435847686e-06,-1.0710056445983887e-06,4.9999999999999998e-07
-4.9878807142224049e-06,-2.9631937764138901e-06,-4.0979031985572431e-07,4.9999999999999998e-07
-3.6148247169616606e-06,2.9397133878126705e-07,5.7655095001680541e-07,4.9999999999999998e-07
4.4924144742062239e-06,1.8036189621952726e-06,7.990943294012524e-07,4.9999999999999998e-07
-3.0890107548109771e-06,1.143177575586745e-06,6.2521761805651025e-07,4.9999999999999998e-07
-2.3221987122851659e-06,3.2201967548631762e-07,-4.9776197730799013e-07,4.9999999999999998e-07
3.2475034114359932e-08,1.2854652844322304e-06,-3.3858996211467273e-07,4.9999999999999998e-07
2.8909494648027242e-06,-1.2528224338482159e-06,-1.105332075461507e-06,4.9999999999999998e-07
