x_m,y_m,z_m,radius_m
1.2444454227895708e-06,-1.669777186978713e-07,1.526392302376161e-07,4.9999999999999998e-07
2.6962592064845892e-07,-1.6527437904485005e-07,-7.0349641411578946e-08,4.9999999999999998e-07
7.4501938058708103e-07,6.8528203033447485e-07,3.0828931391661412e-07,4.9999999999999998e-07
1.5047059675821483e-06,1.030642555927723e-06,-2.4271195368786341e-07,4.9999999999999998e-07
1.6386898779097868e-06,-1.019934120428038e-06,4.947454803332411e-07,4.9999999999999998e-07
1.5724617967865748e-06,2.1901471085224944e-07,1.0148544601656502e-06,4.9999999999999998e-07
-6.9742713554147825e-07,3.4314801095889747e-08,-2.2837668240282687e-07,4.9999999999999998e-07
1.8619807597300032e-06,1.9211556038681274e-06,-5.2438771470325113e-07,4.9999999999999998e-07
2.8458066369607614e-06,1.7461946725855361e-06,-5.6279755479479278e-07,4.9999999999999998e-07
4.6046553901821339e-07,1.1849576247181693e-06,-5.0985090122117117e-07,4.9999999999999998e-07
1.440615705248513e-06,1.2462720602398091e-06,7.5710546721807366e-07,4.9999999999999998e-07
-1.3287081137280155e-06,1.6331455325307219e-07,5.3637385896555594e-07,4.9999999999999998e-07
-1.6944695685670074e-07,8.6054556499769297e-07,6.7302759145204135e-07,4.9999999999999998e-07
4.1935701046015803e-07,1.6424071805309587e-07,1.0972506384309489e-06,4.9999999999999998e-07
2.4225125048801118e-06,1.9121065321898294e-07,1.5408209306262691e-06,4.9999999999999998e-07
-8.8053554151161758e-07,-9.4813125967484075e-07,-2.6402846130863259e-07,4.9999999999999998e-07
1.7703160856254485e-06,2.1219415985905559e-06,-1.499724872738682e-06,4.9999999999999998e-07
1.7755421461113931e-06,-1.4810215508200858e-07,-6.944616985630831e-07,4.9999999999999998e-07
-1.4072366074515596e-06,-3.2556331186197603e-09,-9.3176773726467597e-07,4.9999999999999998e-07
-1.0778338940740449e-06,7.0001818079728782e-07,1.3419862608648138e-06,4.9999999999999998e-07
4.9682478055084654e-07,-5.89099485252404e-07,-9.4713522375609409e-07,4.9999999999999998e-07
1.9605734864251395e-06,6.1670472423421916e-07,-1.3115790621595642e-06,4.9999999999999998e-07
-8.7685654603291427e-07,-2.5737162918038076e-07,-1.7405458594929498e-06,4.9999999999999998e-07
-1.2634066461366944e-06,9.6936360453661919e-07,-5.1861336560275526e-08,4.9999999999999998e-07
1.1200083985394182e-06,-1.7391313179698426e-06,9.5704939985608058e-07,4.9999999999999998e-07
8.5312890053040605e-07,-2.0978258183262935e-06,1.8515400867592442e-06,4.9999999999999998e-07
-2.17095904326938e-06,5.2404830194582014e-07,9.369790689176797e-07,4.9999999999999998e-07
-2.217515683692659e-07,3.6686278489612558e-07,-1.0427135864332115e-06,4.9999999999999998e-07
6.3086396023627253e-07,-1.2585372823539827e-06,-1.6778106196201149e-06,4.9999999999999998e-07
-9.2305132233256221e-07,-6.6486256498861664e-07,9.2311049857400719e-07,4.9999999999999998e-07
-1.2207381795068712e-06,1.4364364096117005e-06,2.0032475991228254e-06,4.9999999999999998e-07
2.6764537186801838e-07,1.6993744548467118e-06,3.4850272379986148e-07,4.9999999999999998e-07
3.2134525447322533e-07,-1.3175382361702167e-06,-2.848785347835551e-07,4.9999999999999998e-07
-3.4208836934430018e-07,7.3675358603711684e-07,2.0182473294189764e-06,4.9999999999999998e-07
1.902398419802063e-06,-1.9612769865103246e-06,2.8419521695407634e-07,4.9999999999999998e-07
2.4215787724715143e-06,6.3677890379470294e-07,-3.0764024630938139e-07,4.9999999999999998e-07
2.0335542136401745e-06,2.888336357721938e-06,-7.1180153299877896e-07,4.9999999999999998e-07
-2.3364864947975395e-06,-2.8659769065370866e-07,-6.9467719485679062e-07,4.9999999999999998e-07
2.764146814029991e-06,-1.4771019439799172e-07,-8.4499626913204447e-07,4.9999999999999998e-07
1.3639286004382398e-06,-1.6219379422493635e-07,1.9155175390567321e-06,4.9999999999999998e-07
2.7040091506274971e-06,1.1936654742424562e-07,5.0014532856172206e-07,4.9999999999999998e-07
-5.1764196013408551e-07,1.2135995689229083e-06,-1.4848512286185865e-06,4.9999999999999998e-07
-6.0198014402460799e-07,-5.1646418875309963e-08,-2.6797583495418751e-06,4.9999999999999998e-07
-2.4089861528336129e-06,-7.7172336621478862e-07,1.7675661129033043e-07,4.9999999999999998e-07
-1.2430558581178534e-06,6.8279516645669284e-07,-2.9025081790251983e-06,4.9999999999999998e-07
-3.049375780008897e-06,-1.5332599731550339e-06,2.7657204945617056e-07,4.9999999999999998e-07
-3.4020624341479211e-06,-2.2756683416011078e-06,8.4617009935930968e-07,4.9999999999999998e-07
-4.358658998269049e-06,-2.4333416726964072e-06,6.0109432705007925e-07,4.9999999999999998e-07
-4.4717899871352334e-06,-1.4776099378100629e-06,8.727158105326953e-07,4.9999999999999998e-07
-3.8414731443468409e-06,-2.6824557625338319e-06,-2.1772247953563567e-07,4.9999999999999998e-07
