id_i,id_j
1,2
1,6
1,22
2,3
2,10
2,13
3,4
3,5
3,7
3,17
4,8
4,14
6,9
6,11
6,12
8,23
10,18
11,16
13,19
14,15
15,21
16,20
16,29
20,25
23,24
23,26
26,27
26,28
26,31
29,30
31,32
31,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
39,41
39,42
41,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
54,57
55,56
57,58
58,59
59,60
59,61
61,62
62,63
63,64
63,65
65,66
66,67
67,68
68,69
68,70
69,71
71,72
72,73
72,74
74,75
75,76
75,77
77,78
78,79
79,80
80,81
80,82
82,83
82,84
84,85
84,86
84,88
86,87
88,89
88,90
90,91
90,92
91,93
93,94
94,95
95,96
96,97
97,98
98,99
98,100
