case,method,family,detector_radius_over_r,replicate,seed,diameter_um,n,contacts,connected,max_overlap_over_radius,rg_over_radius,anisotropy,mean_coordination
bpca_N0050_rep01,bpca,bpca,,1,7027078361518332452,1.0,50,49,True,6.217248937900877e-15,5.600905155845005,0.2843451005512684,1.96
bpca_N0050_rep02,bpca,bpca,,2,15268165809300318821,1.0,50,49,True,3.774758283725532e-15,5.931590581320605,0.16776102119751302,1.96
bpca_N0050_rep03,bpca,bpca,,3,15741528356483897071,1.0,50,49,True,4.440892098500626e-15,5.317926739729601,0.19988181583648712,1.96
bpca_N0050_rep04,bpca,bpca,,4,12980890316185624295,1.0,50,49,True,4.6629367034256575e-15,5.087235603820587,0.13100098521557324,1.96
bpca_N0050_rep05,bpca,bpca,,5,9492902112272725231,1.0,50,49,True,3.1086244689504383e-15,5.8284942357033165,0.1469303322110025,1.96
bpca_N0100_rep01,bpca,bpca,,1,10517962920678745950,1.0,100,99,True,1.2656542480726785e-14,7.958542887106431,0.43984106970277004,1.98
bpca_N0100_rep02,bpca,bpca,,2,9685971670103605745,1.0,100,99,True,5.551115123125783e-15,6.589682577984698,0.05413953288671325,1.98
bpca_N0100_rep03,bpca,bpca,,3,16337236667057436860,1.0,100,99,True,3.774758283725532e-15,6.905135148990331,0.045115473238119264,1.98
bpca_N0100_rep04,bpca,bpca,,4,2492231533958680317,1.0,100,99,True,3.3306690738754696e-15,6.70785169357165,0.06411195380866386,1.98
bpca_N0100_rep05,bpca,bpca,,5,8543861952529061513,1.0,100,99,True,9.769962616701378e-15,8.313484461419502,0.24047309955209828,1.98
bpca_N0200_rep01,bpca,bpca,,1,3474769745776342706,1.0,200,199,True,1.7319479184152442e-14,8.938392661697831,0.07211564629459744,1.99
bpca_N0200_rep02,bpca,bpca,,2,1968651312708281498,1.0,200,199,True,1.9539925233402755e-14,8.899554475885296,0.11555645534157033,1.99
bpca_N0200_rep03,bpca,bpca,,3,11614131572009599190,1.0,200,199,True,2.0872192862952943e-14,9.08980843377395,0.06983955547633935,1.99
bpca_N0200_rep04,bpca,bpca,,4,16176653968138560404,1.0,200,199,True,1.6653345369377348e-14,9.761931925246506,0.1280887506706988,1.99
bpca_N0200_rep05,bpca,bpca,,5,2719158890261432609,1.0,200,199,True,1.4210854715202004e-14,8.91712909955143,0.13247688305807415,1.99
bcca_N0050_rep01,bcca,bcca,,1,14864028244570975997,1.0,50,49,True,2.6645352591003757e-15,6.621298425079341,0.28128427637089093,1.96
bcca_N0050_rep02,bcca,bcca,,2,5482011865839114542,1.0,50,49,True,3.3306690738754696e-15,10.267847222185297,0.37465251878942285,1.96
bcca_N0050_rep03,bcca,bcca,,3,8780758828642748578,1.0,50,49,True,2.220446049250313e-15,8.423139122156185,0.6058943612924506,1.96
bcca_N0050_rep04,bcca,bcca,,4,15641012749845514987,1.0,50,49,True,2.4424906541753444e-15,7.210857100066931,0.2683117959683248,1.96
bcca_N0050_rep05,bcca,bcca,,5,12131339353443934093,1.0,50,49,True,2.886579864025407e-15,8.648392944365526,0.2785339331333482,1.96
bcca_N0100_rep01,bcca,bcca,,1,6640178156549078279,1.0,100,99,True,3.1086244689504383e-15,10.273518246596076,0.38385902731779464,1.98
bcca_N0100_rep02,bcca,bcca,,2,5194333931227460079,1.0,100,99,True,3.9968028886505635e-15,12.273829406825316,0.4771985768120238,1.98
bcca_N0100_rep03,bcca,bcca,,3,2829071136579464861,1.0,100,99,True,4.6629367034256575e-15,13.738804112176028,0.7604057857512816,1.98
bcca_N0100_rep04,bcca,bcca,,4,16174983643131331900,1.0,100,99,True,3.1086244689504383e-15,9.97290186931347,0.29492554666614,1.98
bcca_N0100_rep05,bcca,bcca,,5,6749476684613272599,1.0,100,99,True,2.6645352591003757e-15,8.928517863005897,0.14824040653252735,1.98
bcca_N0200_rep01,bcca,bcca,,1,15918491750904614022,1.0,200,199,True,6.217248937900877e-15,13.922606992785104,0.4334930817286823,1.99
bcca_N0200_rep02,bcca,bcca,,2,9935927814495763048,1.0,200,199,True,4.6629367034256575e-15,15.84259532446329,0.2712097977585143,1.99
bcca_N0200_rep03,bcca,bcca,,3,10916105481103005016,1.0,200,199,True,5.329070518200751e-15,14.631152929932853,0.26350737456738427,1.99
bcca_N0200_rep04,bcca,bcca,,4,20887902320456014,1.0,200,199,True,5.329070518200751e-15,17.45176665448845,0.2533473282046871,1.99
bcca_N0200_rep05,bcca,bcca,,5,4882116698210270186,1.0,200,199,True,5.773159728050814e-15,14.164729289966528,0.4027986813388218,1.99
local_filling_r3_N0050_rep01,local_filling,local_filling_r3,3,1,5364727319349243694,1.0,50,49,True,1.5543122344752192e-15,7.146940923620009,0.40828377732237764,1.96
local_filling_r3_N0050_rep02,local_filling,local_filling_r3,3,2,4869714657902167330,1.0,50,49,True,1.5543122344752192e-15,9.151805509148918,0.7287288343158866,1.96
local_filling_r3_N0050_rep03,local_filling,local_filling_r3,3,3,18287594766556929836,1.0,50,49,True,8.881784197001252e-16,7.391173809036257,0.22374655304634572,1.96
local_filling_r3_N0050_rep04,local_filling,local_filling_r3,3,4,15812632872872276215,1.0,50,49,True,1.1102230246251565e-15,8.122232565884218,0.504172265110844,1.96
local_filling_r3_N0050_rep05,local_filling,local_filling_r3,3,5,18382455482739437001,1.0,50,49,True,1.1102230246251565e-15,8.12938399806797,0.6695560899296973,1.96
local_filling_r3_N0100_rep01,local_filling,local_filling_r3,3,1,6537239395706153563,1.0,100,99,True,1.3322676295501878e-15,9.613961082466567,0.3747268167009976,1.98
local_filling_r3_N0100_rep02,local_filling,local_filling_r3,3,2,11366451783068737897,1.0,100,99,True,1.7763568394002505e-15,10.104744848895297,0.4121533206421806,1.98
local_filling_r3_N0100_rep03,local_filling,local_filling_r3,3,3,8965188938057576550,1.0,100,99,True,1.1102230246251565e-15,10.537852453123419,0.4270576934393506,1.98
local_filling_r3_N0100_rep04,local_filling,local_filling_r3,3,4,15691019024106447137,1.0,100,99,True,1.3322676295501878e-15,9.911502622857853,0.2810524587982627,1.98
local_filling_r3_N0100_rep05,local_filling,local_filling_r3,3,5,11704100895716725292,1.0,100,99,True,2.6645352591003757e-15,9.991560000596072,0.12556463161633336,1.98
local_filling_r3_N0200_rep01,local_filling,local_filling_r3,3,1,13617342446074854953,1.0,200,199,True,1.9984014443252818e-15,10.813075986289084,0.08577360565189729,1.99
local_filling_r3_N0200_rep02,local_filling,local_filling_r3,3,2,3062090230680681157,1.0,200,199,True,1.7763568394002505e-15,10.98266002174433,0.16291215656096547,1.99
local_filling_r3_N0200_rep03,local_filling,local_filling_r3,3,3,4534853400109889485,1.0,200,199,True,2.6645352591003757e-15,11.982467942624803,0.16338447562309155,1.99
