x_m,y_m,z_m,radius_m
2.3655632418024382e-06,-5.5630923855486623e-08,-1.8205149799693907e-06,4.9999999999999998e-07
2.9590548660628978e-06,4.8497882851684307e-07,-2.416760556533787e-06,4.9999999999999998e-07
3.7667719528432844e-06,3.6868786989887915e-07,-2.9947480310232618e-06,4.9999999999999998e-07
3.0309948486104082e-06,-1.197686464158281e-06,-3.7098834323374773e-07,4.9999999999999998e-07
2.2078562862062916e-06,-9.913525818471693e-07,-9.0001503073987836e-07,4.9999999999999998e-07
2.8900452366499394e-06,-8.838852419781357e-07,-1.6232501285843267e-06,4.9999999999999998e-07
3.6402414315418867e-06,-2.4135666173174959e-06,-2.1945526486260474e-06,4.9999999999999998e-07
4.0193749136116187e-06,-6.4815982185208077e-07,-1.4103286959418416e-06,4.9999999999999998e-07
3.6575669509319032e-06,-1.5074281691026805e-06,-1.7719264082614549e-06,4.9999999999999998e-07
4.5485947139012275e-06,6.1625224033823752e-07,3.8015113751610307e-07,4.9999999999999998e-07
3.6436577912471806e-06,-3.750714133111481e-07,-5.2474450170463347e-07,4.9999999999999998e-07
3.6398151835239733e-06,4.8600041880823314e-07,-1.6275688210177997e-08,4.9999999999999998e-07
8.2707572242761305e-07,-2.3840985403715573e-06,-4.3380155666171894e-06,4.9999999999999998e-07
9.6300778937002795e-07,-1.0559921157806201e-06,-3.3829110782436888e-06,4.9999999999999998e-07
6.8352657660557154e-07,-1.3961105070298312e-06,-4.2808029044932409e-06,4.9999999999999998e-07
4.3111987621131512e-07,-3.1515773909294899e-06,-4.84219329499619e-06,4.9999999999999998e-07
-1.6524255645630652e-07,-3.7362777371765519e-06,-3.1631259334505417e-06,4.9999999999999998e-07
4.6220401048074449e-07,-3.4932452781068058e-06,-3.9028867255160713e-06,4.9999999999999998e-07
2.0559368548090115e-06,4.0904606878314184e-07,-2.8393857731832994e-06,4.9999999999999998e-07
2.2563375418723072e-06,-5.1885331967260397e-07,-3.1537777093521697e-06,4.9999999999999998e-07
1.7080154201845874e-06,-1.2478690027482026e-06,-2.7440473288606876e-06,4.9999999999999998e-07
3.6683625016503622e-06,-2.2978224366805206e-06,-3.4250022200516167e-06,4.9999999999999998e-07
3.1770408050882298e-06,-1.7889577545249417e-06,-4.1318683500522077e-06,4.9999999999999998e-07
2.7753691759463749e-06,-7.4830566431254362e-07,-3.977159628251071e-06,4.9999999999999998e-07
2.2153678301357133e-06,-1.5353146324360325e-06,-4.2360329115065048e-06,4.9999999999999998e-07
-2.5984291313682466e-06,-3.1033048787671181e-06,-7.2636948335221499e-06,4.9999999999999998e-07
-2.6797238249480518e-06,-4.3570107780835995e-06,-7.2235354851714905e-06,4.9999999999999998e-07
-1.8775758897573696e-06,-3.7746638839476202e-06,-7.0915097870688136e-06,4.9999999999999998e-07
