id_i,id_j
1,2
1,5
2,3
2,9
4,6
4,42
5,6
7,8
7,16
8,9
9,10
10,12
11,12
13,14
13,17
13,25
14,15
16,18
17,18
19,21
19,24
20,21
22,23
23,24
24,25
26,27
27,28
27,30
28,37
29,31
30,31
30,46
32,33
32,35
33,34
33,59
35,37
36,37
38,40
38,42
39,40
41,43
42,43
42,44
44,46
45,46
45,47
47,48
48,50
49,50
51,53
51,56
52,53
52,57
54,55
54,82
55,56
57,58
57,61
58,59
60,62
60,75
61,62
63,64
64,65
65,66
66,68
67,68
67,73
69,71
69,72
70,71
72,73
72,109
73,74
74,75
76,77
76,86
77,78
78,79
79,80
80,81
82,84
83,84
83,85
85,87
85,95
86,87
88,89
88,91
89,90
90,97
91,92
92,93
94,96
95,96
95,97
97,98
98,100
99,100
101,102
101,105
101,115
102,103
102,112
104,106
105,106
107,109
107,111
108,109
110,111
111,112
113,114
114,115
114,116
116,117
117,118
117,121
119,120
119,125
120,121
122,123
122,136
123,125
124,125
126,127
126,130
127,128
129,130
130,131
130,192
131,137
132,133
133,134
133,135
134,150
135,136
136,137
138,140
138,141
139,140
140,149
141,143
142,143
144,146
144,147
145,146
147,148
148,150
149,150
151,152
151,156
152,153
153,199
154,155
155,156
155,160
157,159
157,162
158,159
158,165
160,161
161,162
163,165
164,165
164,166
164,174
166,168
167,168
169,170
169,173
170,171
172,173
172,175
174,175
176,178
177,178
177,180
177,187
177,194
179,181
180,181
182,184
182,185
183,184
185,186
186,187
188,189
189,190
189,200
190,193
191,193
192,193
194,196
195,196
195,198
197,198
197,200
199,200
