id_i,id_j
1,2
1,3
1,6
2,4
2,9
2,32
3,5
3,31
3,52
4,7
4,8
5,14
5,29
6,11
6,95
7,10
7,17
7,26
8,12
8,20
9,15
9,16
10,13
10,28
11,19
11,67
13,45
13,55
14,18
15,22
15,23
16,24
17,36
18,21
18,48
19,237
20,27
20,79
21,379
22,25
22,43
23,37
24,38
24,64
25,30
25,435
26,54
27,196
28,34
28,35
28,42
29,39
29,58
29,85
30,53
30,61
30,86
31,33
31,41
32,49
32,135
33,46
33,57
34,51
35,40
35,83
35,175
36,44
36,84
37,63
37,72
37,80
38,218
38,486
39,47
39,159
40,66
40,100
41,114
41,129
42,56
43,50
43,248
44,60
46,88
46,190
47,75
48,59
48,68
48,89
50,74
51,65
51,71
51,149
52,156
53,73
54,214
55,153
56,102
56,124
57,69
58,70
58,117
59,77
60,62
60,123
61,130
62,152
62,168
62,203
63,78
63,118
63,261
63,376
64,101
64,133
65,94
66,134
68,76
69,309
70,150
70,177
71,142
72,97
72,393
73,90
73,108
73,128
74,81
74,107
75,87
75,125
76,91
77,82
78,92
78,230
80,167
81,407
82,99
82,148
82,416
85,116
85,138
86,96
86,111
87,121
87,166
87,335
88,141
89,198
90,93
90,171
91,337
92,110
92,181
92,281
93,162
93,163
94,98
94,103
94,104
95,132
96,131
96,330
97,143
97,155
97,206
98,113
98,290
99,106
99,115
100,109
101,105
101,185
103,122
103,278
105,119
105,158
106,136
108,112
108,183
109,249
109,273
110,140
110,146
112,178
113,151
113,284
114,120
114,147
115,179
115,239
116,199
117,192
117,200
119,174
120,154
121,216
121,217
122,382
123,372
124,126
124,127
124,235
125,222
126,173
126,176
127,315
128,189
129,145
130,231
131,137
131,184
132,247
132,255
133,209
133,210
134,182
134,279
136,144
137,139
139,219
139,288
141,244
141,258
142,187
142,323
144,160
145,211
146,180
146,197
147,274
148,224
150,243
150,251
150,430
151,170
152,164
152,193
153,188
153,229
154,157
154,165
154,321
155,161
157,272
158,215
159,308
160,169
160,296
161,191
161,377
163,172
163,472
164,236
165,212
169,256
170,287
170,412
171,223
172,259
173,254
173,363
174,208
176,202
177,207
177,245
178,195
178,390
179,204
180,205
180,389
181,270
182,414
183,402
184,186
184,234
185,493
186,194
186,307
188,233
191,225
192,201
194,220
194,301
194,428
195,246
196,329
197,280
198,418
199,313
199,316
200,257
201,213
201,327
201,400
202,295
202,403
203,299
204,232
204,253
204,263
205,242
205,300
207,345
208,264
208,283
208,305
209,361
209,485
210,269
212,350
213,451
214,228
214,401
215,306
217,221
217,277
219,238
220,226
221,267
221,318
221,388
221,483
223,227
223,294
223,387
225,424
226,303
226,381
228,456
229,266
230,262
232,250
233,282
234,468
235,448
236,252
236,384
237,241
238,240
240,320
240,469
242,265
242,396
242,496
244,325
244,331
245,260
246,439
250,326
252,413
253,289
253,292
253,380
254,462
256,369
258,271
258,286
259,293
261,285
262,275
263,298
263,347
264,268
264,319
265,332
265,333
265,367
266,312
267,276
267,297
268,304
269,436
269,443
270,311
270,421
272,352
274,328
275,362
275,467
276,378
276,433
282,339
283,317
284,291
284,314
285,446
286,346
286,364
288,310
291,324
291,459
292,334
293,341
293,392
294,365
295,356
295,431
295,438
298,395
301,302
301,374
303,383
304,338
305,409
308,368
309,355
309,398
310,336
311,349
311,360
314,426
314,490
315,399
316,342
316,357
317,344
318,322
320,375
323,353
324,343
325,354
325,452
328,408
329,358
333,498
334,447
336,440
336,442
337,340
337,466
338,351
341,386
343,457
345,487
347,348
349,406
350,366
350,371
351,425
352,422
356,359
359,385
361,373
362,479
365,473
365,482
366,370
366,410
368,494
370,415
371,423
373,391
374,463
375,437
378,420
380,477
383,397
384,394
384,454
385,432
385,471
386,405
386,434
388,404
394,429
397,419
399,458
400,480
403,478
404,444
406,417
409,476
409,481
410,411
411,455
412,491
413,461
418,465
421,441
423,445
424,427
425,460
429,489
434,449
436,464
437,470
437,497
446,488
447,450
450,453
451,499
455,495
459,484
466,474
471,492
473,475
487,500
