x_m,y_m,z_m,radius_m
6.0879522872316502e-07,-6.5711604460195335e-08,2.0347857415462806e-06,4.9999999999999998e-07
2.6138461031449017e-07,1.3056856004580596e-07,1.1178451986328462e-06,4.9999999999999998e-07
-3.3832312375920455e-07,-4.7048775442264077e-08,2.3551270052075999e-06,4.9999999999999998e-07
-8.1468593547359954e-07,8.1270470190618652e-07,2.1710008804919621e-06,4.9999999999999998e-07
5.6763462451915899e-07,7.8051811349349001e-07,4.2230475640622822e-07,4.9999999999999998e-07
4.7595056107158492e-07,7.6318106654507702e-07,-5.7333245629367911e-07,4.9999999999999998e-07
-1.4758182066892145e-06,1.0292562371433724e-07,1.9278593988019612e-06,4.9999999999999998e-07
8.5973054606492693e-07,1.7713022444651571e-07,-1.2869551392249789e-06,4.9999999999999998e-07
7.3837810656447947e-07,1.1456335721705731e-06,-1.5043829453459378e-06,4.9999999999999998e-07
4.8206881504154619e-07,1.6035009201301713e-06,9.8388982763660885e-07,4.9999999999999998e-07
1.5238729219394612e-06,-4.3718822594337525e-07,1.8778209841343694e-06,4.9999999999999998e-07
6.8258396612846949e-07,1.9504931974648987e-06,-2.0952196380657439e-06,4.9999999999999998e-07
-1.695371212840653e-06,-8.3645466798402564e-07,1.6644943573508604e-06,4.9999999999999998e-07
1.6324383583731886e-06,2.2631655743140646e-06,-2.0987718611579839e-06,4.9999999999999998e-07
7.8212530608505936e-07,-8.8237193630545772e-07,2.5852606153344573e-06,4.9999999999999998e-07
4.7510826441847618e-07,4.8721509870128674e-07,-2.2094886849416243e-06,4.9999999999999998e-07
-1.092673024288087e-07,-1.59227366033251e-07,-2.700016295438547e-06,4.9999999999999998e-07
-3.4345924938663983e-08,2.2855180794953652e-06,1.5017396231010828e-06,4.9999999999999998e-07
-1.70291557423855e-07,-1.0520886818157348e-06,-2.253838403694163e-06,4.9999999999999998e-07
6.0687640191929853e-07,2.1834419977744891e-06,-1.1256820053996273e-06,4.9999999999999998e-07
-2.2956819990026431e-06,4.9586440764942042e-07,2.3442996395725276e-06,4.9999999999999998e-07
-1.2980591708993502e-06,1.2659069673822001e-06,2.9199721895829287e-06,4.9999999999999998e-07
-1.8406411067273612e-06,-1.8216456110818272e-06,1.7555737928355107e-06,4.9999999999999998e-07
4.2793051921852558e-07,-8.1245994762039025e-07,8.2981795346987489e-07,4.9999999999999998e-07
2.5483355594887568e-06,2.1632177690762693e-06,-1.7100010376426587e-06,4.9999999999999998e-07
-7.6920378855687796e-07,6.277685660895001e-07,3.4795178672205852e-06,4.9999999999999998e-07
2.4444460039686804e-06,2.493002507737747e-06,-7.7167860563977061e-07,4.9999999999999998e-07
-8.797126565316347e-07,-1.155919440402869e-06,-1.5567438063030063e-06,4.9999999999999998e-07
3.0717572817496935e-06,1.4214260038843634e-06,-1.2907461297896085e-06,4.9999999999999998e-07
-1.482186353587175e-06,1.6753403369297831e-07,2.9505187772851111e-06,4.9999999999999998e-07
-3.1087826012788067e-07,-5.4238334804156405e-07,-1.0090204337526086e-06,4.9999999999999998e-07
-2.1016896636011113e-06,-1.0738690900663969e-06,2.5468433295602283e-06,4.9999999999999998e-07
-2.3082056691759257e-06,-1.0636409479060814e-06,3.5252330906214076e-06,4.9999999999999998e-07
2.7121328599687225e-06,9.9105234516249539e-07,-2.1186644766916681e-06,4.9999999999999998e-07
-2.6015314399204663e-06,-2.0181056781777713e-06,3.470854134356035e-06,4.9999999999999998e-07
2.0858050646255353e-06,-1.2643665271758939e-06,1.8749356788993765e-06,4.9999999999999998e-07
-7.8892061693002281e-08,3.1206463017662552e-06,2.0499881926996774e-06,4.9999999999999998e-07
8.7098793637149274e-07,-3.5236888975283337e-07,-2.6576368355572728e-06,4.9999999999999998e-07
-2.0645780519385093e-06,-2.7943424693089488e-06,1.6946388556927697e-06,4.9999999999999998e-07
-1.6512845840869386e-06,-1.9068150461135004e-06,3.7617928017641912e-06,4.9999999999999998e-07
-5.0439785163439965e-07,6.8699680295350011e-07,-2.2350824197428943e-06,4.9999999999999998e-07
-2.6715405199497246e-06,-6.2506705404708919e-07,1.7135734825696559e-06,4.9999999999999998e-07
-8.908021582330014e-07,1.3189058548249511e-06,4.1919384484866723e-06,4.9999999999999998e-07
-4.8653003150705712e-07,7.9102921878163346e-07,4.9388723844355444e-06,4.9999999999999998e-07
1.2059497369574125e-06,1.6171879353201875e-06,1.673678981292579e-06,4.9999999999999998e-07
1.1519740968916635e-06,-5.9652068316851454e-07,-7.2476479766207051e-07,4.9999999999999998e-07
-3.5451719517922561e-06,-2.2584717241700479e-07,1.9917669537511755e-06,4.9999999999999998e-07
9.7774333811538289e-07,2.9085955263681756e-06,-5.4550093400498787e-07,4.9999999999999998e-07
2.1011876955661685e-06,-5.8598923142408259e-07,1.0749723602205837e-06,4.9999999999999998e-07
2.8505055030103967e-06,5.9808915432306819e-07,-3.0277480494741406e-06,4.9999999999999998e-07
1.261879014491702e-06,-1.7551965928892091e-06,2.4957424711986746e-06,4.9999999999999998e-07
1.8275708479185955e-06,-8.4692645146092761e-08,-2.5423174468609694e-06,4.9999999999999998e-07
3.1409077309663553e-07,-1.315807959296886e-06,-9.0305780725179328e-07,4.9999999999999998e-07
3.1972156173135303e-07,-1.627819421264983e-06,2.1051660159322409e-06,4.9999999999999998e-07
-3.0548169686750989e-06,7.6908055595218727e-07,2.9351185916441286e-06,4.9999999999999998e-07
-1.8778167075057102e-06,-2.4740918613441306e-06,2.9528641857593398e-06,4.9999999999999998e-07
2.6768090574213461e-07,2.5646266080326488e-06,-2.7665583040954071e-06,4.9999999999999998e-07
-1.83748213635862e-06,-9.3799448823115643e-07,-1.3691635868423961e-06,4.9999999999999998e-07
-1.2193050311552879e-06,5.263904427801416e-07,-2.9156067188985788e-06,4.9999999999999998e-07
1.5544356543038568e-06,8.5863045698548024e-07,5.641574596234534e-07,4.9999999999999998e-07
-2.793331758964609e-06,-1.689382804885874e-06,1.4819187705228688e-06,4.9999999999999998e-07
-1.4384526877985033e-06,9.1603683575836257e-07,-1.9610710579142527e-06,4.9999999999999998e-07
3.0100750511293809e-06,1.2413563124520685e-06,-3.7765770837574994e-06,4.9999999999999998e-07
-1.2413172533754797e-07,-8.3732651906898392e-07,-3.614066409422927e-09,4.9999999999999998e-07
2.7480259409467375e-06,-1.6211440698749839e-07,-2.1592139458173068e-06,4.9999999999999998e-07
-3.4191647417759348e-06,-1.6123039268109831e-06,3.0624416929630821e-06,4.9999999999999998e-07
-7.2941247145640897e-07,-1.8804633704692687e-06,-2.2881775750521476e-06,4.9999999999999998e-07
-9.1439043146673643e-07,-1.9333791394740562e-06,3.0863067865291701e-06,4.9999999999999998e-07
7.0305580487434602e-07,3.7215492264356023e-06,-3.2029376244850486e-08,4.9999999999999998e-07
2.7924439974151033e-06,-2.8774758535907134e-07,-3.4880980600066821e-06,4.9999999999999998e-07
-2.3498537181185009e-06,1.2394692546321392e-06,-2.2155108982559574e-06,4.9999999999999998e-07
1.9707106111475278e-06,2.6336142611987813e-06,-2.9638381322542354e-06,4.9999999999999998e-07
-3.4300805479430177e-06,-2.7866363726605092e-07,2.9837167457269893e-06,4.9999999999999998e-07
-2.320106070068828e-06,1.3164540048485676e-06,1.7733038622491849e-06,4.9999999999999998e-07
-2.0010178459096827e-06,3.5210708077983998e-07,-1.3565020590984066e-06,4.9999999999999998e-07
2.7850630405733744e-06,2.9760075063129252e-06,-3.4324498973523945e-06,4.9999999999999998e-07
3.7716466864887043e-06,7.5265448724924927e-07,-1.039948443054596e-06,4.9999999999999998e-07
1.0234183885267423e-06,-2.4986920744968608e-06,1.8709617106967348e-06,4.9999999999999998e-07
-3.5806917663601371e-06,-1.210011658121419e-06,1.0942752198170362e-06,4.9999999999999998e-07
2.2079341387414474e-06,-2.2211324514384436e-06,2.1389119191665641e-06,4.9999999999999998e-07
3.9805299495975389e-06,1.043152553744042e-06,-3.6389814440259622e-06,4.9999999999999998e-07
-2.9210708155527741e-06,5.2893340189929378e-07,-1.0068808566373735e-06,4.9999999999999998e-07
-1.5521027624116576e-06,-1.3225564721096742e-06,-2.3973589742496983e-06,4.9999999999999998e-07
-1.3188593315950618e-06,1.2691699634571043e-06,5.2192460003414991e-06,4.9999999999999998e-07
1.4855692090834071e-06,2.5751010112381709e-06,1.7386057846429736e-06,4.9999999999999998e-07
-4.1495700759513578e-06,3.8767082216210675e-07,2.7879280656024269e-06,4.9999999999999998e-07
-1.778626467656934e-07,-2.0233802357522546e-06,-3.9578736037210065e-07,4.9999999999999998e-07
1.1239273643697359e-06,3.6339636872017933e-06,-1.2181607750219099e-06,4.9999999999999998e-07
1.2109647700496334e-06,2.0587453057772304e-06,2.5708979835646701e-06,4.9999999999999998e-07
-1.2498718751714694e-06,-3.2520031436115777e-06,2.9760875461049738e-06,4.9999999999999998e-07
2.2316390222372741e-06,2.7657122895933882e-07,1.5638198860943041e-06,4.9999999999999998e-07
-2.0019107505943576e-06,-2.1947377035818125e-06,-2.5896417692022253e-06,4.9999999999999998e-07
-2.3991559800397676e-06,-3.6336679388327122e-06,2.123113319618186e-06,4.9999999999999998e-07
2.7531645024632973e-06,-1.4637796846564942e-06,2.5924771573885736e-06,4.9999999999999998e-07
2.8783542855996683e-06,8.8572724792757593e-07,-4.6878376815342583e-07,4.9999999999999998e-07
1.710002035029059e-06,-2.9341613818891701e-06,2.6325244842749334e-06,4.9999999999999998e-07
1.860850783021875e-06,-1.5617930505576518e-06,3.2728061045759231e-06,4.9999999999999998e-07
9.9121484196924125e-07,-2.8057158488629097e-06,9.1980487107293595e-07,4.9999999999999998e-07
-1.3888793397149367e-06,1.5136621483401645e-06,-2.7613125645366563e-06,4.9999999999999998e-07
-2.5992223501419822e-06,-1.8799150062158945e-06,-3.3272768566737391e-06,4.9999999999999998e-07
-3.1142790090510138e-06,-1.2812376293893382e-06,4.0755942946956955e-06,4.9999999999999998e-07
-6.9015181625074938e-07,-3.6968642233180419e-06,2.2769365785706496e-06,4.9999999999999998e-07
2.7763606259181985e-07,5.8200480586431386e-07,5.5490846224595106e-06,4.9999999999999998e-07
-1.49202266639879e-06,2.3346375224308704e-06,-3.3228825862589673e-06,4.9999999999999998e-07
-3.579785004764508e-06,-1.6660009588142522e-06,2.0429042475756476e-07,4.9999999999999998e-07
1.9613773341619791e-06,4.4928859072484637e-07,-3.46054071534672e-06,4.9999999999999998e-07
4.4352815898606233e-06,6.7426106793480066e-07,-4.4496108398508698e-06,4.9999999999999998e-07
3.1409379508874869e-06,1.6200743073016257e-06,1.5714291694051328e-07,4.9999999999999998e-07
-3.2671064309722852e-07,-2.584427929093735e-06,3.5666899043390269e-06,4.9999999999999998e-07
-2.071489694305045e-06,-2.3399371404623418e-06,-4.041334193283787e-06,4.9999999999999998e-07
-3.9935146069033698e-06,1.2978875284089837e-06,3.1715323385834564e-06,4.9999999999999998e-07
-6.9937788148514706e-07,3.6952779350871306e-06,1.5163255338749829e-06,4.9999999999999998e-07
-8.3650712293586379e-07,-2.0161525572216571e-06,2.0927864034636637e-06,4.9999999999999998e-07
2.1715182392524536e-06,3.1423559215655964e-06,-2.1266653785754775e-06,4.9999999999999998e-07
1.433976636541499e-06,-9.4239937882817941e-07,-1.6196628340437626e-06,4.9999999999999998e-07
1.6679515233698605e-06,-3.2227586837861139e-06,1.6253917951906668e-06,4.9999999999999998e-07
-1.4206119589174307e-06,-2.7727399051157432e-06,9.2988987709950297e-07,4.9999999999999998e-07
2.0306639688017934e-06,-2.7709857338230679e-06,8.1032070405169795e-07,4.9999999999999998e-07
-2.9192202474536512e-06,-4.2882734474949087e-06,2.6717705767362965e-06,4.9999999999999998e-07
-4.3357046966068855e-06,2.1899344686961782e-06,2.8763066641699139e-06,4.9999999999999998e-07
-5.4584347725638839e-07,2.2778231695430389e-06,6.4248934388449317e-07,4.9999999999999998e-07
