x_m,y_m,z_m,radius_m
1.2713063335344199e-05,-1.5362117300448385e-06,6.3419225460982309e-06,4.9999999999999998e-07
1.1825363475609414e-05,-1.8405170317869752e-06,5.9963979560059001e-06,4.9999999999999998e-07
1.1222153239591845e-05,-2.4048126377390344e-06,5.4327421388028609e-06,4.9999999999999998e-07
1.3652723515087678e-05,-1.7140735295209829e-06,6.6341620487181826e-06,4.9999999999999998e-07
1.182483954088591e-05,-3.1473532922400086e-06,5.7249793688844235e-06,4.9999999999999998e-07
1.3474466133905185e-05,-1.9834617987117036e-06,5.6877719248916565e-06,4.9999999999999998e-07
1.2318576848321684e-05,-3.5571416562185893e-06,4.9579741746426688e-06,4.9999999999999998e-07
1.2893008445329985e-05,-4.1274959930603672e-06,4.3708419316136647e-06,4.9999999999999998e-07
1.3784715317405861e-05,-4.2203980921999088e-06,4.8138182902019314e-06,4.9999999999999998e-07
1.44495040510192e-05,-3.9742890130550801e-06,5.5191453496738176e-06,4.9999999999999998e-07
1.5429354002163701e-05,-4.091483301637909e-06,5.6808845594087685e-06,4.9999999999999998e-07
1.5288340040066749e-05,-3.8945178174021648e-06,4.7106682636718346e-06,4.9999999999999998e-07
1.4512781472792772e-05,-1.8633539495220611e-06,7.1220305408269142e-06,4.9999999999999998e-07
1.5109579216214522e-05,-2.5557790331205961e-06,6.7165925590710525e-06,4.9999999999999998e-07
1.4559119995347384e-05,-2.9409275066929531e-06,5.9758798620911618e-06,4.9999999999999998e-07
1.0300947275369102e-05,-2.713132794362033e-06,5.6700568085989253e-06,4.9999999999999998e-07
1.0192655947492542e-05,-3.7072490805527695e-06,5.6724646784185642e-06,4.9999999999999998e-07
1.075293395372929e-05,-4.0187520493805774e-06,6.4399635097784816e-06,4.9999999999999998e-07
1.0175340457074394e-05,-4.3984868902043636e-06,7.1625887261157646e-06,4.9999999999999998e-07
9.4227650749010889e-06,-4.9057721906186413e-06,7.5824600375080762e-06,4.9999999999999998e-07
9.9720257955742173e-06,-4.9460861142402094e-06,8.4171380881886185e-06,4.9999999999999998e-07
1.0503048090612192e-05,-2.8681803290718051e-06,4.7030430949120406e-06,4.9999999999999998e-07
1.2851250465939258e-05,-3.1765435114479944e-06,5.7138867815565818e-06,4.9999999999999998e-07
1.0579319911285015e-05,-5.2355401576813025e-06,7.6772663332481814e-06,4.9999999999999998e-07
1.437707779311728e-05,-3.0209879469373771e-06,7.2136059710288411e-06,4.9999999999999998e-07
