case,method,family,detector_radius_over_r,sample,replicate,seed,diameter_um,compactness_score,structural_class,class_definition,n,contacts,connected,max_overlap_over_radius,rg_over_radius,anisotropy,mean_coordination
bpca_N0050_sample01,bpca,bpca,,1,1,9558298401583252411,1.0,0.6566894907575107,intermediate,within_method_and_N_tertile,50,49,True,4.218847493575595e-15,5.610005261985763,0.1193463730876897,1.96
bpca_N0050_sample02,bpca,bpca,,2,3,4943085609269566689,1.0,0.6507433948179537,open,within_method_and_N_tertile,50,49,True,4.6629367034256575e-15,5.661266065821534,0.22027970142867848,1.96
bpca_N0050_sample03,bpca,bpca,,3,5,12403506205588564988,1.0,0.6780791263897028,intermediate,within_method_and_N_tertile,50,49,True,2.886579864025407e-15,5.433040710536657,0.1625582114808296,1.96
bpca_N0050_sample04,bpca,bpca,,4,5,2697948693391214982,1.0,0.656379893433396,open,within_method_and_N_tertile,50,49,True,4.6629367034256575e-15,5.612651355558641,0.14369946928916177,1.96
bpca_N0050_sample05,bpca,bpca,,5,2,925393419230074340,1.0,0.718720214815115,compact,within_method_and_N_tertile,50,49,True,3.774758283725532e-15,5.125821456946322,0.11604149029305388,1.96
bpca_N0050_sample06,bpca,bpca,,6,2,3409205106472152392,1.0,0.6482828709864996,open,within_method_and_N_tertile,50,49,True,3.3306690738754696e-15,5.682753105961835,0.23775257440325426,1.96
bpca_N0050_sample07,bpca,bpca,,7,1,11507673083602675798,1.0,0.6116452134006259,open,within_method_and_N_tertile,50,49,True,4.884981308350689e-15,6.023151032537151,0.43050089010916726,1.96
bpca_N0050_sample08,bpca,bpca,,8,4,10007982639018954734,1.0,0.7299290868580312,compact,within_method_and_N_tertile,50,49,True,1.7763568394002505e-15,5.047108773947131,0.10390183095211036,1.96
bpca_N0050_sample09,bpca,bpca,,9,4,7509762560714238523,1.0,0.6521249806509978,open,within_method_and_N_tertile,50,49,True,4.884981308350689e-15,5.649272160932591,0.07038233776388458,1.96
bpca_N0050_sample10,bpca,bpca,,10,3,15720575427948543557,1.0,0.6702944266325788,intermediate,within_method_and_N_tertile,50,49,True,5.10702591327572e-15,5.496139237123308,0.11110055242771633,1.96
bpca_N0050_sample11,bpca,bpca,,11,5,6789180929662519533,1.0,0.7300034076368815,compact,within_method_and_N_tertile,50,49,True,1.7763568394002505e-15,5.046594933804608,0.03432183554708068,1.96
bpca_N0050_sample12,bpca,bpca,,12,3,4633890339611658363,1.0,0.7232398888024998,compact,within_method_and_N_tertile,50,49,True,2.6645352591003757e-15,5.093789150291752,0.019946655238440192,1.96
bpca_N0050_sample13,bpca,bpca,,13,2,6059775306620944006,1.0,0.6618889427647768,intermediate,within_method_and_N_tertile,50,49,True,3.552713678800501e-15,5.565936006200399,0.21398965044421958,1.96
bpca_N0050_sample14,bpca,bpca,,14,1,6540829691476686275,1.0,0.7180028415881161,compact,within_method_and_N_tertile,50,49,True,1.7763568394002505e-15,5.130942783585443,0.11749614554002552,1.96
bpca_N0050_sample15,bpca,bpca,,15,4,14386802836061613260,1.0,0.6726933844435437,intermediate,within_method_and_N_tertile,50,49,True,4.440892098500626e-15,5.476538916296674,0.19862488016683333,1.96
bpca_N0100_sample01,bpca,bpca,,1,1,9496034513362086467,1.0,0.6160992736528408,open,within_method_and_N_tertile,100,99,True,1.1324274851176597e-14,7.533832666435211,0.06410905819424162,1.98
bpca_N0100_sample02,bpca,bpca,,2,2,16353763719340358777,1.0,0.6298327020580333,open,within_method_and_N_tertile,100,99,True,7.549516567451064e-15,7.369558326276139,0.048214530470549355,1.98
bpca_N0100_sample03,bpca,bpca,,3,5,3522244772523528097,1.0,0.7231132825674998,compact,within_method_and_N_tertile,100,99,True,7.105427357601002e-15,6.418895829339857,0.08037305527627026,1.98
bpca_N0100_sample04,bpca,bpca,,4,5,6385343793162052900,1.0,0.6983202297208588,intermediate,within_method_and_N_tertile,100,99,True,8.43769498715119e-15,6.646791308721174,0.03111042762224825,1.98
bpca_N0100_sample05,bpca,bpca,,5,1,7799759306426964339,1.0,0.70579223079215,compact,within_method_and_N_tertile,100,99,True,8.43769498715119e-15,6.576423813001263,0.06017095077662482,1.98
bpca_N0100_sample06,bpca,bpca,,6,1,276426993135855368,1.0,0.6773826024166565,intermediate,within_method_and_N_tertile,100,99,True,6.8833827526759706e-15,6.852240989144489,0.10512233349709088,1.98
bpca_N0100_sample07,bpca,bpca,,7,3,8760471135292304789,1.0,0.6935792915066907,intermediate,within_method_and_N_tertile,100,99,True,5.773159728050814e-15,6.692225229980072,0.037561271868222335,1.98
bpca_N0100_sample08,bpca,bpca,,8,2,7886744990160974120,1.0,0.7151989733854085,compact,within_method_and_N_tertile,100,99,True,5.329070518200751e-15,6.489926588738971,0.07933465028322162,1.98
bpca_N0100_sample09,bpca,bpca,,9,4,4184061994233567954,1.0,0.7183797698407964,compact,within_method_and_N_tertile,100,99,True,5.551115123125783e-15,6.461190902746917,0.1281149859752968,1.98
bpca_N0100_sample10,bpca,bpca,,10,4,11067615559966281809,1.0,0.6644881216623113,open,within_method_and_N_tertile,100,99,True,7.771561172376096e-15,6.98520964077008,0.17026985445997744,1.98
bpca_N0100_sample11,bpca,bpca,,11,2,18150264009132212702,1.0,0.6780361041586684,intermediate,within_method_and_N_tertile,100,99,True,5.773159728050814e-15,6.845636692713036,0.10408413070216493,1.98
bpca_N0100_sample12,bpca,bpca,,12,4,12071446992665648723,1.0,0.6941353978656694,intermediate,within_method_and_N_tertile,100,99,True,6.8833827526759706e-15,6.686863755810116,0.09314859713196721,1.98
bpca_N0100_sample13,bpca,bpca,,13,3,15326359602884640536,1.0,0.7156467851191682,compact,within_method_and_N_tertile,100,99,True,8.215650382226158e-15,6.4858655556454,0.05794804889926519,1.98
bpca_N0100_sample14,bpca,bpca,,14,5,15691598289756965479,1.0,0.6672632883069379,open,within_method_and_N_tertile,100,99,True,1.2434497875801753e-14,6.956157958862065,0.06793556450722782,1.98
bpca_N0100_sample15,bpca,bpca,,15,3,14905997743248562968,1.0,0.6579343522041666,open,within_method_and_N_tertile,100,99,True,7.993605777301127e-15,7.0547902204267725,0.09192272386986367,1.98
bpca_N0200_sample01,bpca,bpca,,1,2,6456112570397277303,1.0,0.6744095742996397,compact,within_method_and_N_tertile,200,199,True,2.4424906541753444e-14,8.671341124566322,0.053583338576263295,1.99
bpca_N0200_sample02,bpca,bpca,,2,1,8307015363002769034,1.0,0.6443917974540029,intermediate,within_method_and_N_tertile,200,199,True,1.1102230246251565e-14,9.07527920052888,0.025845109822226098,1.99
bpca_N0200_sample03,bpca,bpca,,3,2,2624508686710704365,1.0,0.6292231666014094,open,within_method_and_N_tertile,200,199,True,1.532107773982716e-14,9.294056205864802,0.05211695356141233,1.99
bpca_N0200_sample04,bpca,bpca,,4,5,13238308308284586641,1.0,0.6658390932307325,intermediate,within_method_and_N_tertile,200,199,True,8.881784197001252e-15,8.782956026283092,0.07237182665593156,1.99
bpca_N0200_sample05,bpca,bpca,,5,5,2942659067345840260,1.0,0.7299175799679246,compact,within_method_and_N_tertile,200,199,True,2.3092638912203256e-14,8.0119120801046,0.029043251428129024,1.99
bpca_N0200_sample06,bpca,bpca,,6,4,11311929788604353232,1.0,0.6620771553558998,intermediate,within_method_and_N_tertile,200,199,True,1.4432899320127035e-14,8.832860987753183,0.13323914145306315,1.99
bpca_N0200_sample07,bpca,bpca,,7,4,12729692832654014564,1.0,0.6377168645881087,open,within_method_and_N_tertile,200,199,True,1.7541523789077473e-14,9.170269442698345,0.09125431906936576,1.99
bpca_N0200_sample08,bpca,bpca,,8,1,13070822165716939036,1.0,0.6735653188508467,compact,within_method_and_N_tertile,200,199,True,1.9539925233402755e-14,8.682209895252507,0.16764730778188353,1.99
bpca_N0200_sample09,bpca,bpca,,9,3,1364107542111942191,1.0,0.6489844820283719,intermediate,within_method_and_N_tertile,200,199,True,9.325873406851315e-15,9.01105594720533,0.06530761704185484,1.99
bpca_N0200_sample10,bpca,bpca,,10,2,13190744162855428202,1.0,0.644511242035046,intermediate,within_method_and_N_tertile,200,199,True,1.7541523789077473e-14,9.073597316876187,0.09763149920556846,1.99
bpca_N0200_sample11,bpca,bpca,,11,3,8646238126894055683,1.0,0.6323878214391184,open,within_method_and_N_tertile,200,199,True,1.3766765505351941e-14,9.247546012378,0.050220045988528916,1.99
