n,Dbox_low,Dbox_high,porosity_low,porosity_high,cases,quality_ok
50,1.5,1.7,0.65,0.7,0,0
50,1.5,1.7,0.7,0.75,0,0
50,1.5,1.7,0.75,0.8,0,0
50,1.5,1.7,0.8,0.85,0,0
50,1.5,1.7,0.85,0.9,0,0
50,1.5,1.7,0.9,0.95,0,0
50,1.5,1.7,0.95,1.000001,0,0
50,1.7,1.9,0.65,0.7,0,0
50,1.7,1.9,0.7,0.75,0,0
50,1.7,1.9,0.75,0.8,0,0
50,1.7,1.9,0.8,0.85,1,0
50,1.7,1.9,0.85,0.9,14,2
50,1.7,1.9,0.9,0.95,0,0
50,1.7,1.9,0.95,1.000001,0,0
50,1.9,2.1,0.65,0.7,0,0
50,1.9,2.1,0.7,0.75,4,0
50,1.9,2.1,0.75,0.8,11,0
50,1.9,2.1,0.8,0.85,12,0
50,1.9,2.1,0.85,0.9,0,0
50,1.9,2.1,0.9,0.95,0,0
50,1.9,2.1,0.95,1.000001,0,0
50,2.1,2.3,0.65,0.7,0,0
50,2.1,2.3,0.7,0.75,1,0
50,2.1,2.3,0.75,0.8,2,0
50,2.1,2.3,0.8,0.85,0,0
50,2.1,2.3,0.85,0.9,0,0
50,2.1,2.3,0.9,0.95,0,0
50,2.1,2.3,0.95,1.000001,0,0
50,2.3,2.5,0.65,0.7,0,0
50,2.3,2.5,0.7,0.75,0,0
50,2.3,2.5,0.75,0.8,0,0
50,2.3,2.5,0.8,0.85,0,0
50,2.3,2.5,0.85,0.9,0,0
50,2.3,2.5,0.9,0.95,0,0
50,2.3,2.5,0.95,1.000001,0,0
50,2.5,2.7,0.65,0.7,0,0
50,2.5,2.7,0.7,0.75,0,0
50,2.5,2.7,0.75,0.8,0,0
50,2.5,2.7,0.8,0.85,0,0
50,2.5,2.7,0.85,0.9,0,0
50,2.5,2.7,0.9,0.95,0,0
50,2.5,2.7,0.95,1.000001,0,0
50,2.7,2.9,0.65,0.7,0,0
50,2.7,2.9,0.7,0.75,0,0
50,2.7,2.9,0.75,0.8,0,0
50,2.7,2.9,0.8,0.85,0,0
50,2.7,2.9,0.85,0.9,0,0
50,2.7,2.9,0.9,0.95,0,0
50,2.7,2.9,0.95,1.000001,0,0
50,2.9,3.1,0.65,0.7,0,0
50,2.9,3.1,0.7,0.75,0,0
50,2.9,3.1,0.75,0.8,0,0
50,2.9,3.1,0.8,0.85,0,0
50,2.9,3.1,0.85,0.9,0,0
50,2.9,3.1,0.9,0.95,0,0
50,2.9,3.1,0.95,1.000001,0,0
75,1.5,1.7,0.65,0.7,0,0
75,1.5,1.7,0.7,0.75,0,0
75,1.5,1.7,0.75,0.8,0,0
75,1.5,1.7,0.8,0.85,0,0
75,1.5,1.7,0.85,0.9,0,0
75,1.5,1.7,0.9,0.95,0,0
75,1.5,1.7,0.95,1.000001,0,0
75,1.7,1.9,0.65,0.7,0,0
75,1.7,1.9,0.7,0.75,0,0
75,1.7,1.9,0.75,0.8,0,0
75,1.7,1.9,0.8,0.85,0,0
75,1.7,1.9,0.85,0.9,9,4
75,1.7,1.9,0.9,0.95,0,0
75,1.7,1.9,0.95,1.000001,0,0
75,1.9,2.1,0.65,0.7,0,0
75,1.9,2.1,0.7,0.75,0,0
75,1.9,2.1,0.75,0.8,3,0
75,1.9,2.1,0.8,0.85,11,0
75,1.9,2.1,0.85,0.9,6,3
75,1.9,2.1,0.9,0.95,0,0
75,1.9,2.1,0.95,1.000001,0,0
75,2.1,2.3,0.65,0.7,0,0
75,2.1,2.3,0.7,0.75,0,0
75,2.1,2.3,0.75,0.8,0,0
75,2.1,2.3,0.8,0.85,1,0
75,2.1,2.3,0.85,0.9,0,0
75,2.1,2.3,0.9,0.95,0,0
75,2.1,2.3,0.95,1.000001,0,0
75,2.3,2.5,0.65,0.7,0,0
75,2.3,2.5,0.7,0.75,0,0
75,2.3,2.5,0.75,0.8,0,0
75,2.3,2.5,0.8,0.85,0,0
75,2.3,2.5,0.85,0.9,0,0
75,2.3,2.5,0.9,0.95,0,0
75,2.3,2.5,0.95,1.000001,0,0
75,2.5,2.7,0.65,0.7,0,0
75,2.5,2.7,0.7,0.75,0,0
75,2.5,2.7,0.75,0.8,0,0
75,2.5,2.7,0.8,0.85,0,0
75,2.5,2.7,0.85,0.9,0,0
75,2.5,2.7,0.9,0.95,0,0
75,2.5,2.7,0.95,1.000001,0,0
75,2.7,2.9,0.65,0.7,0,0
75,2.7,2.9,0.7,0.75,0,0
75,2.7,2.9,0.75,0.8,0,0
75,2.7,2.9,0.8,0.85,0,0
75,2.7,2.9,0.85,0.9,0,0
75,2.7,2.9,0.9,0.95,0,0
75,2.7,2.9,0.95,1.000001,0,0
75,2.9,3.1,0.65,0.7,0,0
75,2.9,3.1,0.7,0.75,0,0
75,2.9,3.1,0.75,0.8,0,0
75,2.9,3.1,0.8,0.85,0,0
75,2.9,3.1,0.85,0.9,0,0
75,2.9,3.1,0.9,0.95,0,0
75,2.9,3.1,0.95,1.000001,0,0
