case,method,family,detector_radius_over_r,sample,replicate,seed,diameter_um,requested_df,requested_kf,structural_class,class_definition,parameter_group,study_subset,target_rg_over_radius,mass_radius_relative_error,compactness_score,n,contacts,connected,max_overlap_over_radius,rg_over_radius,anisotropy,mean_coordination
fractal_dp1_N0050_Df1.8_kf1.3_rep01,tunable_fractal,tunable_fractal,,1,1,15015831728822439224,1.0,1.8,1.3,open,prescribed_Df_kf_pair,tunable_fractal|N50|Df1.8|kf1.3,historical_design_core,7.595744751894108,1.1102230246251565e-16,0.48501254570484625,50,49,True,5.10702591327572e-15,7.595744751894107,0.31123897735566763,1.96
fractal_dp1_N0050_Df1.8_kf1.3_rep02,tunable_fractal,tunable_fractal,,2,2,16778341837374850695,1.0,1.8,1.3,open,prescribed_Df_kf_pair,tunable_fractal|N50|Df1.8|kf1.3,historical_design_core,7.595744751894108,2.220446049250313e-16,0.48501254570484614,50,49,True,3.552713678800501e-15,7.595744751894109,0.3752401892281958,1.96
fractal_dp1_N0050_Df1.8_kf1.3_rep03,tunable_fractal,tunable_fractal,,3,3,12734195148759877679,1.0,1.8,1.3,open,prescribed_Df_kf_pair,tunable_fractal|N50|Df1.8|kf1.3,historical_design_core,7.595744751894108,0.0,0.4850125457048462,50,49,True,5.773159728050814e-15,7.595744751894108,0.3311936954555509,1.96
fractal_dp1_N0050_Df1.8_kf1.3_rep04,tunable_fractal,tunable_fractal,,4,4,4040422806737949826,1.0,1.8,1.3,open,prescribed_Df_kf_pair,tunable_fractal|N50|Df1.8|kf1.3,historical_design_core,7.595744751894108,2.220446049250313e-16,0.48501254570484614,50,49,True,3.9968028886505635e-15,7.595744751894109,0.4221762928909786,1.96
fractal_dp1_N0050_Df1.8_kf1.3_rep05,tunable_fractal,tunable_fractal,,5,5,11822114073611231259,1.0,1.8,1.3,open,prescribed_Df_kf_pair,tunable_fractal|N50|Df1.8|kf1.3,historical_design_core,7.595744751894108,0.0,0.4850125457048462,50,49,True,4.218847493575595e-15,7.595744751894108,0.46693543129624526,1.96
fractal_dp1_N0050_Df2.2_kf1.1_rep01,tunable_fractal,tunable_fractal,,1,1,1069972932922315974,1.0,2.2,1.1,intermediate,prescribed_Df_kf_pair,tunable_fractal|N50|Df2.2|kf1.1,historical_design_core,5.668187865369675,0.0,0.6499487289665048,50,49,True,3.552713678800501e-15,5.668187865369675,0.19919285805512466,1.96
fractal_dp1_N0050_Df2.2_kf1.1_rep02,tunable_fractal,tunable_fractal,,2,2,18189322308481521200,1.0,2.2,1.1,intermediate,prescribed_Df_kf_pair,tunable_fractal|N50|Df2.2|kf1.1,historical_design_core,5.668187865369675,0.0,0.6499487289665048,50,49,True,4.884981308350689e-15,5.668187865369675,0.28087035000419636,1.96
fractal_dp1_N0050_Df2.2_kf1.1_rep03,tunable_fractal,tunable_fractal,,3,3,9596235338005660046,1.0,2.2,1.1,intermediate,prescribed_Df_kf_pair,tunable_fractal|N50|Df2.2|kf1.1,historical_design_core,5.668187865369675,0.0,0.6499487289665048,50,49,True,3.774758283725532e-15,5.668187865369675,0.25416437719453244,1.96
fractal_dp1_N0050_Df2.2_kf1.1_rep04,tunable_fractal,tunable_fractal,,4,4,8568582802361285816,1.0,2.2,1.1,intermediate,prescribed_Df_kf_pair,tunable_fractal|N50|Df2.2|kf1.1,historical_design_core,5.668187865369675,3.3306690738754696e-16,0.649948728966505,50,49,True,3.552713678800501e-15,5.668187865369673,0.19161207252842372,1.96
fractal_dp1_N0050_Df2.2_kf1.1_rep05,tunable_fractal,tunable_fractal,,5,5,10154158352251221993,1.0,2.2,1.1,intermediate,prescribed_Df_kf_pair,tunable_fractal|N50|Df2.2|kf1.1,historical_design_core,5.668187865369675,3.3306690738754696e-16,0.649948728966505,50,49,True,6.217248937900877e-15,5.668187865369673,0.2749494581101227,1.96
