case,n,df,sampling,rays,rotation,mean,reference_mean,absolute_mean_difference,maximum_particle_difference
fractal_dp1_N0050_Df1.8_kf1.3_rep01,50,1.8,fibonacci,512,0,0.719765625,0.7200537109375,0.00028808593750007105,0.0159912109375
fractal_dp1_N0050_Df1.8_kf1.3_rep01,50,1.8,fibonacci,2048,0,0.719755859375,0.7200537109375,0.00029785156250006217,0.006103515625
fractal_dp1_N0050_Df1.8_kf1.3_rep01,50,1.8,fibonacci,4096,0,0.7202197265625,0.7200537109375,0.00016601562499996003,0.0025634765625
fractal_dp1_N0050_Df1.8_kf1.3_rep01,50,1.8,fibonacci,8192,0,0.7200537109375,0.7200537109375,0.0,0.0
fractal_dp1_N0050_Df1.8_kf1.3_rep01,50,1.8,fibonacci,2048,1,0.72009765625,0.7200537109375,4.394531249996003e-05,0.0068359375
fractal_dp1_N0050_Df1.8_kf1.3_rep01,50,1.8,fibonacci,2048,2,0.72005859375,0.7200537109375,4.882812499995559e-06,0.00390625
fractal_dp1_N0050_Df2.2_kf1.1_rep01,50,2.2,fibonacci,512,0,0.63015625,0.6311669921875,0.00101074218750008,0.0147705078125
fractal_dp1_N0050_Df2.2_kf1.1_rep01,50,2.2,fibonacci,2048,0,0.6309765625,0.6311669921875,0.00019042968750004885,0.0054931640625
fractal_dp1_N0050_Df2.2_kf1.1_rep01,50,2.2,fibonacci,4096,0,0.630966796875,0.6311669921875,0.00020019531250003997,0.003173828125
fractal_dp1_N0050_Df2.2_kf1.1_rep01,50,2.2,fibonacci,8192,0,0.6311669921875,0.6311669921875,0.0,0.0
fractal_dp1_N0050_Df2.2_kf1.1_rep01,50,2.2,fibonacci,2048,1,0.630654296875,0.6311669921875,0.0005126953125000888,0.0068359375
fractal_dp1_N0050_Df2.2_kf1.1_rep01,50,2.2,fibonacci,2048,2,0.631220703125,0.6311669921875,5.371093749995115e-05,0.006103515625
fractal_dp1_N0050_Df2.6_kf0.8_rep01,50,2.6,fibonacci,512,0,0.5851953125,0.58576416015625,0.0005688476562499822,0.0150146484375
fractal_dp1_N0050_Df2.6_kf0.8_rep01,50,2.6,fibonacci,2048,0,0.585478515625,0.58576416015625,0.00028564453125001776,0.0052490234375
fractal_dp1_N0050_Df2.6_kf0.8_rep01,50,2.6,fibonacci,4096,0,0.585615234375,0.58576416015625,0.00014892578125003109,0.0040283203125
fractal_dp1_N0050_Df2.6_kf0.8_rep01,50,2.6,fibonacci,8192,0,0.58576416015625,0.58576416015625,0.0,0.0
fractal_dp1_N0050_Df2.6_kf0.8_rep01,50,2.6,fibonacci,2048,1,0.5858203125,0.58576416015625,5.615234375000444e-05,0.005859375
fractal_dp1_N0050_Df2.6_kf0.8_rep01,50,2.6,fibonacci,2048,2,0.585595703125,0.58576416015625,0.00016845703125001332,0.0076904296875
fractal_dp1_N0100_Df1.8_kf1.3_rep01,100,1.8,fibonacci,512,0,0.66087890625,0.661678466796875,0.0007995605468750222,0.0142822265625
fractal_dp1_N0100_Df1.8_kf1.3_rep01,100,1.8,fibonacci,2048,0,0.6616162109375,0.661678466796875,6.225585937502665e-05,0.0054931640625
fractal_dp1_N0100_Df1.8_kf1.3_rep01,100,1.8,fibonacci,4096,0,0.6617578125,0.661678466796875,7.934570312495559e-05,0.00341796875
fractal_dp1_N0100_Df1.8_kf1.3_rep01,100,1.8,fibonacci,8192,0,0.661678466796875,0.661678466796875,0.0,0.0
fractal_dp1_N0100_Df1.8_kf1.3_rep01,100,1.8,fibonacci,2048,1,0.661376953125,0.661678466796875,0.0003015136718750311,0.00732421875
fractal_dp1_N0100_Df1.8_kf1.3_rep01,100,1.8,fibonacci,2048,2,0.661787109375,0.661678466796875,0.00010864257812492895,0.005126953125
fractal_dp1_N0100_Df2.2_kf1.1_rep01,100,2.2,fibonacci,512,0,0.58845703125,0.588511962890625,5.4931640624977796e-05,0.0194091796875
fractal_dp1_N0100_Df2.2_kf1.1_rep01,100,2.2,fibonacci,2048,0,0.588515625,0.588511962890625,3.6621093749689138e-06,0.0079345703125
fractal_dp1_N0100_Df2.2_kf1.1_rep01,100,2.2,fibonacci,4096,0,0.58850341796875,0.588511962890625,8.544921874964473e-06,0.00390625
fractal_dp1_N0100_Df2.2_kf1.1_rep01,100,2.2,fibonacci,8192,0,0.588511962890625,0.588511962890625,0.0,0.0
fractal_dp1_N0100_Df2.2_kf1.1_rep01,100,2.2,fibonacci,2048,1,0.588466796875,0.588511962890625,4.516601562498668e-05,0.0076904296875
fractal_dp1_N0100_Df2.2_kf1.1_rep01,100,2.2,fibonacci,2048,2,0.588818359375,0.588511962890625,0.00030639648437502665,0.0068359375
fractal_dp1_N0100_Df2.6_kf0.8_rep01,100,2.6,fibonacci,512,0,0.52859375,0.527255859375,0.0013378906250000044,0.0169677734375
