feature,spearman_abs_pair_difference
box_dimension,0.026544174910194753
hull_porosity,0.12634377953032416
log_rg,0.02095809733251059
asphericity,0.32224556196063064
lambda2_over_lambda1,0.22535365500951257
lambda3_over_lambda1,0.007868948764874274
leaf_fraction,0.2325223322186198
branch_fraction,0.19714796079271696
degree_std,0.20955018905844383
mean_graph_distance,-0.10640086419302001
neighbors_1p5d,0.14687288550464297
neighbors_2d,0.24314537957010562
local_density_cv,0.011429815560243051
core_shell_density_difference,-0.1588746939477833
