a,b,n,matching_distance,delta_exposure,abs_delta_exposure,both_box_quality_ok,delta_box_dimension,delta_hull_porosity,delta_log_rg,delta_asphericity,delta_lambda2_over_lambda1,delta_lambda3_over_lambda1,delta_leaf_fraction,delta_branch_fraction,delta_degree_std,delta_mean_graph_distance,delta_neighbors_1p5d,delta_neighbors_2d,delta_local_density_cv,delta_core_shell_density_difference
fractal_dp1.5_N0050_Df1.8_kf1.3_rep01,fractal_dp2_N0050_Df1.8_kf1.3_rep04,50,0.4909831965124956,0.012167968749999925,0.012167968749999925,False,0.013585698481180852,0.0008595811255867059,2.079583169889432e-06,0.035563619673351976,-0.02970399391138992,0.0008743403343957762,0.040000000000000036,0.060000000000000026,0.02064717598475818,-0.7934693877551027,-0.2799999999999998,-0.23999999999999932,-0.026192253430587564,-0.10165565428723244
fractal_dp1.5_N0050_Df2.2_kf1.1_rep02,fractal_dp1.5_N0050_Df2.2_kf1.1_rep04,50,0.5885507469342827,0.002587890624999978,0.002587890624999978,False,-0.0027105296924307964,0.003775524198374347,-2.1110653132261348e-06,0.02261273118314011,-0.1218677870540828,0.03797314584888581,0.08000000000000002,0.06,0.11074708004019163,-0.3836734693877544,-0.11999999999999966,0.040000000000000036,-0.04021210052943874,0.015151515151514694
fractal_dp1.5_N0050_Df2.2_kf1.1_rep05,fractal_dp1_N0050_Df2.2_kf1.1_rep05,50,0.4748723599161847,-0.0015234375000000577,0.0015234375000000577,False,-0.010055154702052871,0.0023564115711747213,-3.9822363917529913e-07,-0.06168742884651779,0.03075631121831715,0.04420214725361729,0.0,-0.040000000000000036,0.044780209097678214,1.113469387755103,0.7199999999999998,-0.3600000000000012,0.051677229143654635,2.152380952380952
fractal_dp1.5_N0050_Df2.6_kf0.8_rep01,fractal_dp1.5_N0050_Df2.6_kf0.8_rep03,50,0.03645275447883783,-0.002109374999999969,0.002109374999999969,False,-0.0035351323677828006,0.00036089653415050105,-2.114639293671061e-06,0.025823240422586546,0.088492256791255,-0.1204467923623842,0.06,0.040000000000000036,0.0583446455684391,-0.042448979591837244,0.6799999999999997,0.2400000000000002,-0.002067338552227016,-0.6770186335403716
fractal_dp1.5_N0050_Df2.6_kf0.8_rep02,fractal_dp2_N0050_Df2.6_kf0.8_rep04,50,0.4618249771906136,0.0008886718750000799,0.0008886718750000799,False,-0.012817254718290538,-0.0011304858569080034,-7.911643450486672e-06,-0.0008374619136377603,0.03466845516279804,-0.02419631536558714,0.03999999999999998,0.06,0.021101922948076668,-0.7371428571428567,-0.040000000000000036,0.3200000000000003,0.000972927352119568,-0.43333333333333357
fractal_dp1.5_N0050_Df2.6_kf0.8_rep04,fractal_dp2_N0050_Df2.6_kf0.8_rep02,50,0.5661883910491341,0.0045214843749999956,0.0045214843749999956,False,0.0005627270753061353,-0.0037596433894916403,-1.3064899855308454e-06,0.00839351712569969,-0.034656512735397826,-0.0014332732375925694,-0.019999999999999962,0.0,-0.04086779568686849,-0.6375510204081634,-0.2400000000000002,0.0799999999999983,0.01661213429415681,1.0833333333333321
fractal_dp1.5_N0050_Df2.6_kf0.8_rep05,fractal_dp1_N0050_Df2.6_kf0.8_rep03,50,0.45029720992852273,-0.0010253906250000666,0.0010253906250000666,False,-0.005599624015599325,0.0030492119356414493,2.4430955281040667e-07,-0.025414676950431758,0.024632358504119156,0.04898374320811272,-0.019999999999999962,-0.020000000000000018,-0.01981945648481609,-0.9608163265306118,-0.040000000000000036,-0.03999999999999915,0.023972851604493528,2.0525362318840576
fractal_dp1.5_N0100_Df1.8_kf1.3_rep01,fractal_dp1.5_N0100_Df1.8_kf1.3_rep05,100,0.6078494137309983,0.008491210937500049,0.008491210937500049,True,0.004761101923785427,-0.0037120721467575057,8.332382037679054e-07,0.09686372116477704,-0.06617649736347331,-0.033785831637850296,-0.040000000000000036,-0.030000000000000027,-0.07079198201588666,1.754747474747477,-0.3999999999999999,-0.33999999999999986,0.0016936584117351883,0.5321698216435049
fractal_dp1.5_N0100_Df1.8_kf1.3_rep02,fractal_dp1_N0100_Df1.8_kf1.3_rep03,100,0.9066399543232269,-0.004697265624999947,0.004697265624999947,True,0.0169388377789359,0.0021755998659591658,-2.423993294975446e-06,0.14020415866206093,-0.21190988504934438,0.030238007493535064,-0.06,-0.009999999999999953,-0.1399994127537636,-1.2109090909090892,0.0,-0.2400000000000002,0.0825564956264736,2.2209150326797387
fractal_dp1.5_N0100_Df1.8_kf1.3_rep03,fractal_dp2_N0100_Df1.8_kf1.3_rep01,100,0.13559455222149927,-0.017104492187499987,0.017104492187499987,True,0.0071511624341829005,0.00044007788575795015,4.336016126371689e-06,0.0285756454127587,-0.01013550086736395,-0.013507088958361065,-0.010000000000000009,-0.010000000000000009,-0.011399259405727613,0.5094949494949503,0.20000000000000018,0.1800000000000006,0.06480178317655666,0.4263565891472867
