case,archived,2048,8192,16384,8192_rotated,reproduction_error,observed_numerical_spread
fractal_dp1_N0050_Df2.2_kf1.1_rep04,0.644599609375,0.644599609375,0.644208984375,0.644208984375,0.6443310546875,0.0,0.0003906250000000888
fractal_dp2_N0050_Df2.2_kf1.1_rep01,0.62828125,0.62828125,0.6277783203125,0.62777587890625,0.6276806640625,0.0,0.0006005859375000089
fractal_dp1_N0100_Df1.8_kf1.3_rep02,0.6620849609375,0.6620849609375,0.662276611328125,0.662347412109375,0.662392578125,0.0,0.00030761718749994227
fractal_dp2_N0100_Df1.8_kf1.3_rep03,0.6793017578125,0.6793017578125,0.67939697265625,0.6794305419921876,0.6795263671875,0.0,0.00022460937500001776
fractal_dp2_N0100_Df1.8_kf1.3_rep02,0.671083984375,0.671083984375,0.671273193359375,0.671236572265625,0.671273193359375,0.0,0.00018920898437491118
fractal_dp2_N0100_Df1.8_kf1.3_rep05,0.65400390625,0.65400390625,0.65443603515625,0.6544476318359375,0.654453125,0.0,0.0004492187499999245
independent_extrapolation_dp1_N0750_Df1.8_kf1.3_rep04,0.5928841145833333,0.5928841145833333,0.5928828125,0.5929152018229167,0.5928753255208333,0.0,3.987630208335258e-05
independent_extrapolation_dp1.5_N0750_Df1.8_kf1.3_rep03,0.5905944010416667,0.5905944010416667,0.5905128580729166,0.5904276529947917,0.5905130208333333,0.0,0.00016674804687499822
independent_extrapolation_dp1_N1000_Df1.8_kf1.3_rep01,0.58446533203125,0.58446484375,0.5846451416015624,0.58466650390625,0.5846502685546875,4.882812499884537e-07,0.00020166015625000533
independent_extrapolation_dp2_N0750_Df1.8_kf1.3_rep01,0.5938229166666666,0.5938229166666666,0.5935240885416667,0.5935851236979167,0.5935987955729166,0.0,0.00029882812499992806
independent_extrapolation_dp1.5_N1000_Df1.8_kf1.3_rep04,0.5794150390625,0.57941552734375,0.5793687744140625,0.579423095703125,0.579457763671875,4.882812499884537e-07,8.898925781242184e-05
independent_extrapolation_dp2_N0750_Df1.8_kf1.3_rep05,0.590095703125,0.590095703125,0.5902275390625,0.5902765299479167,0.5902833658854166,0.0,0.0001876627604165959
