model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
ann,0.06275694543940206,0.004337905923307861,0.04614506320384635,0.003526439998020545,0.23377434748741496,0.10582995327552566
ann_q1,0.0661055409393022,0.004949017027063466,0.04757737787855343,0.0014970218244918531,0.14935683738932357,0.1286387432299725
ann_q2,0.06789872027536727,0.0016423292350667257,0.049153762267650884,0.0029038493561771763,0.10557385536305375,0.043426439242686604
ann_q3,0.06126002823618352,0.0036184937831879142,0.045034022651788595,0.0005633425892265373,0.2705167379530469,0.08664632848364305
ann_q4,0.05071985948453889,0.019351182470907235,0.03979205828171469,0.013200052313609998,0.4526917563607264,0.34409181354684976
ann_selected,0.05913773384291066,0.0022256318496268537,0.04261013951120456,0.00413222720987206,0.32112284502236355,0.05098146972731445
count_categorical,0.08896634977850121,0.0,0.07382728468547617,0.0,-0.5349827307885613,0.0
count_quadratic,0.0889663217550734,1.6996749443881478e-17,0.07382724800216617,0.0,-0.534981763783146,0.0
gnn_q1,0.04138898891707136,0.011110645211172577,0.03005672994359732,0.006767901604824201,0.6518229712692934,0.1715023963596184
gnn_q2,0.030993876810688336,0.007016950491670209,0.026817334577457223,0.006484665524271807,0.8073380373940626,0.0796679831312819
gnn_q3,0.043071797983699374,0.006830187409582915,0.03357868976864795,0.0035480573915624447,0.6341877174292931,0.1166829364379949
gnn_q4,0.04342657796058628,0.018945496255784393,0.034941721762217486,0.013655760537063499,0.5878619851194785,0.3488179967209966
gnn_selected,0.03235964371073254,0.009038230230728788,0.02795782386843419,0.008594453557203414,0.7863620746380032,0.10742073480094441
individual_forest_N,0.08900653873887134,1.969976167990417e-05,0.07382091339385648,8.013831961193163e-05,-0.5363698962897347,0.0006800477757005757
individual_forest_Nc,0.08900653873887138,1.969976167990417e-05,0.07382091339385649,8.013831961194657e-05,-0.5363698962897359,0.000680047775700751
individual_forest_Rg_over_d,0.11616723960553914,0.00043457062040016723,0.1002325400248988,0.00046179284251194615,-1.6171182179702492,0.019563617716506318
individual_forest_contact_density,0.08900653873887138,1.9699761679912107e-05,0.07382091339385648,8.013831961193666e-05,-0.5363698962897355,0.0006800477757010354
individual_forest_max_coordination,0.06978715026089367,5.116054996607219e-05,0.057550438178880024,7.559320713567662e-05,0.05549766939247125,0.0013847161801692363
individual_forest_mean_coordination,0.08900653873887136,1.96997616798883e-05,0.0738209133938565,8.013831961192036e-05,-0.5363698962897355,0.0006800477756998926
individual_linear_N,0.0749423189008674,0.0,0.05980133892884896,0.0,-0.08919641629364272,0.0
individual_linear_Nc,0.0749423189008674,0.0,0.05980133892884896,0.0,-0.08919641629364272,0.0
individual_linear_Rg_over_d,0.08341509808708535,0.0,0.07232198229476589,0.0,-0.3494017814003272,0.0
individual_linear_contact_density,0.06963803650774268,0.0,0.05932117035139852,0.0,0.05952991831855958,0.0
individual_linear_max_coordination,0.06898273921080433,0.0,0.05756476400503472,0.0,0.07714637867591823,0.0
individual_linear_mean_coordination,0.06963803650774268,0.0,0.05932117035139852,0.0,0.05952991831855958,0.0
linear,0.03079234724199952,0.0,0.02484624390281848,0.0,0.816118710468306,0.0
random_forest,0.08012813957434459,0.0017926289673328916,0.07630290261654692,0.0014736378905581356,-0.24556660512572334,0.0554871040903755
random_forest_v9,0.08184895375462858,0.0007360261463964595,0.07928795322782455,0.0007270765629257126,-0.29927662849787073,0.023425775581377525
training_mean,0.07671300766161707,0.0,0.06350803493294184,0.0,-0.14127412268191253,0.0
