model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
ann,0.045751570954982564,0.003796797005450787,0.038532472397777164,0.002554799660054982,0.7296147983750654,0.04541572399280176
ann_q1,0.05263848830272883,0.007744553907520001,0.044178027104036455,0.0054498998155517436,0.6385811424944872,0.10296891316700951
ann_q2,0.04651082222825886,0.007768865145476784,0.03953171689270644,0.00501269806062643,0.7166695424684573,0.09694894664306743
ann_q3,0.04239730358295351,0.004855671989758737,0.03646229237002983,0.0034627690771220835,0.7668480124835116,0.05282040027148947
ann_q4,0.047981192094320994,0.005477774495268257,0.040160287342163904,0.0038329313504663043,0.7014061212309924,0.0678327421641519
ann_selected,0.04832422999930328,0.008275943857991026,0.0403034973994253,0.0058129606321946385,0.6938592049611748,0.10595472355319001
count_categorical,0.10441784760432644,1.6996749443881478e-17,0.08390494026620592,1.6996749443881478e-17,-0.4019450024186064,0.0
count_quadratic,0.10225687267720211,1.6996749443881478e-17,0.08120430278778076,0.0,-0.34451767704772185,0.0
gnn_q1,0.041394242767406275,0.00955681601736849,0.034677165030931975,0.006752316998029184,0.7718470253194831,0.10659659398370282
gnn_q2,0.03635850755563127,0.0016604837517470408,0.030663762842204494,0.0019627177900895985,0.8297853017269162,0.015443571913277438
gnn_q3,0.03227345871932462,0.005307679099228747,0.026564512155614534,0.00322171991438511,0.863656745648667,0.04455430887422608
gnn_q4,0.037799559991478986,0.0023592695270428176,0.03253260741111296,0.002684171745657423,0.8158034715890353,0.022577550658612028
gnn_selected,0.03360927238538097,0.003605114009423215,0.028380205507768163,0.001928119662407167,0.8536413800554322,0.03212422985008213
individual_forest_N,0.10442251540990156,7.031495119271962e-05,0.08398291847575007,4.359820908705418e-05,-0.40207077172942074,0.0018884884197617523
individual_forest_Nc,0.10442251540990156,7.031495119272176e-05,0.08398291847575007,4.359820908705418e-05,-0.4020707717294206,0.0018884884197618206
individual_forest_Rg_over_d,0.1397218210398288,0.0007250090830963875,0.12346764391992447,0.0004762061219615399,-1.5102546112373598,0.02608787670890808
individual_forest_contact_density,0.10442251540990155,7.031495119271536e-05,0.08398291847575005,4.359820908707408e-05,-0.4020707717294206,0.0018884884197617742
individual_forest_max_coordination,0.08338412374203906,8.59741183456397e-05,0.0670460279753928,0.00011731419671588263,0.10597729255742971,0.0018440312198178945
individual_forest_mean_coordination,0.10442251540990155,7.031495119272738e-05,0.08398291847575007,4.359820908706632e-05,-0.40207077172942035,0.0018884884197620906
individual_linear_N,0.0931815476122199,1.6996749443881478e-17,0.07660846732581793,0.0,-0.11645530515154112,0.0
individual_linear_Nc,0.0931815476122199,1.6996749443881478e-17,0.07660846732581793,0.0,-0.11645530515154112,0.0
individual_linear_Rg_over_d,0.10269925190334506,0.0,0.0896827369348963,1.6996749443881478e-17,-0.3561760281008972,0.0
individual_linear_contact_density,0.07713955337358296,0.0,0.06470869291294887,0.0,0.23486909642768805,0.0
individual_linear_max_coordination,0.08045600423997368,0.0,0.06545749030299693,0.0,0.16766448999096484,0.0
individual_linear_mean_coordination,0.0771395396610439,0.0,0.06470867759555413,0.0,0.23486936845120931,0.0
linear,0.04050527774693067,0.0,0.029005822124427923,0.0,0.7890377579575459,0.0
random_forest,0.09664874594977914,0.00013983958837288546,0.08536039964228449,0.00040431464091884395,-0.2010872479440303,0.00347504451078999
random_forest_v9,0.09991855171006718,0.00017439525595311297,0.0898827987066334,0.0001786391686106824,-0.28373282501808395,0.004480522659997625
training_mean,0.10047082255939373,1.6996749443881478e-17,0.08505488996749783,0.0,-0.2979603297293203,0.0
