model,fold,seed,q,inner_r2,inner_rmse,inner_mae,best_epoch,gap_from_best,within_tolerance,selected,all_candidates_nonpositive
gnn,0,7,1,0.747688387389341,,,51,0.18673349168358555,False,False,False
gnn,0,7,2,0.9344218790729265,,,48,0.0,True,True,False
gnn,0,7,3,0.9034303457662344,,,40,0.03099153330669213,False,False,False
gnn,0,7,4,0.9054022646378246,,,62,0.029019614435101926,False,False,False
gnn,0,17,1,0.770951948645519,,,30,0.12344788823318709,False,False,False
gnn,0,17,2,0.8943998368787061,,,46,0.0,True,True,False
gnn,0,17,3,0.838045528144984,,,45,0.05635430873372205,False,False,False
gnn,0,17,4,0.86807422226372,,,35,0.02632561461498606,False,False,False
gnn,0,27,1,0.9330242461398569,,,74,0.0,True,True,False
gnn,0,27,2,0.9024294833023687,,,71,0.030594762837488187,False,False,False
gnn,0,27,3,0.9055129075223639,,,67,0.027511338617492997,False,False,False
gnn,0,27,4,0.7161677636881028,,,20,0.21685648245175415,False,False,False
gnn,1,7,1,0.2766983157521419,,,165,0.22799173833440256,False,False,False
gnn,1,7,2,0.45597384338950453,,,275,0.04871621069703991,False,False,False
gnn,1,7,3,-0.3759520254745856,,,26,0.88064207956113,False,False,False
gnn,1,7,4,0.5046900540865444,,,148,0.0,True,True,False
gnn,1,17,1,-0.5599033566684415,,,76,1.0329298960283673,False,False,False
gnn,1,17,2,0.011400865200461574,,,143,0.4616256741594641,False,False,False
gnn,1,17,3,0.47302653935992567,,,86,0.0,True,True,False
gnn,1,17,4,0.23345357863928207,,,181,0.2395729607206436,False,False,False
gnn,1,27,1,-11.685462371774252,,,5,11.96844659711951,False,False,False
gnn,1,27,2,0.2829842253452576,,,144,0.0,True,True,False
gnn,1,27,3,-0.8330650784268903,,,54,1.1160493037721477,False,False,False
gnn,1,27,4,0.15046583494959476,,,120,0.13251839039566282,False,False,False
gnn,2,7,1,0.959429982438824,,,71,0.0,True,True,False
gnn,2,7,2,0.9392496441113863,,,39,0.020180338327437708,False,False,False
gnn,2,7,3,0.9085295281120054,,,75,0.05090045432681867,False,False,False
gnn,2,7,4,0.9446625102203615,,,110,0.01476747221846253,True,False,False
gnn,2,17,1,0.9315086523388332,,,46,0.016108306000452433,True,True,False
gnn,2,17,2,0.9326897990726829,,,36,0.014927159266602708,True,False,False
gnn,2,17,3,0.9476169583392856,,,88,0.0,True,False,False
gnn,2,17,4,0.916539009735164,,,87,0.031077948604121608,False,False,False
gnn,2,27,1,0.9527817956675795,,,66,0.0,True,True,False
gnn,2,27,2,0.9129501744557271,,,41,0.03983162121185235,False,False,False
gnn,2,27,3,0.8987814211796222,,,64,0.05400037448795725,False,False,False
gnn,2,27,4,0.942574345048392,,,84,0.010207450619187486,True,False,False
gnn,3,7,1,0.2539842153070605,,,34,0.735816582694266,False,False,False
gnn,3,7,2,0.9898007980013265,,,43,0.0,True,True,False
gnn,3,7,3,0.9824328714624917,,,40,0.007367926538834779,True,False,False
gnn,3,7,4,0.9772303447345874,,,27,0.012570453266739112,True,False,False
gnn,3,17,1,0.9813031268034871,,,43,0.01044198982422484,True,True,False
gnn,3,17,2,0.9901019222169437,,,81,0.0016431944107682117,True,False,False
gnn,3,17,3,0.9917451166277119,,,53,0.0,True,False,False
gnn,3,17,4,0.9879783020764928,,,86,0.0037668145512190776,True,False,False
gnn,3,27,1,0.9877053982870792,,,69,0.0014918541099704363,True,True,False
gnn,3,27,2,0.9856431564363478,,,65,0.0035540959607017752,True,False,False
gnn,3,27,3,0.9891972523970496,,,85,0.0,True,False,False
gnn,3,27,4,0.9817251360009401,,,30,0.007472116396109452,True,False,False
gnn,4,7,1,0.9785881456145776,,,74,0.0,True,True,False
gnn,4,7,2,0.5768374476620832,,,25,0.4017506979524944,False,False,False
gnn,4,7,3,0.9041020457108889,,,94,0.07448609990368871,False,False,False
gnn,4,7,4,0.10680208672860836,,,83,0.8717860588859693,False,False,False
gnn,4,17,1,0.9783030115652489,,,65,0.0,True,True,False
gnn,4,17,2,0.975370930490096,,,130,0.002932081075152859,True,False,False
gnn,4,17,3,0.972180603859437,,,81,0.00612240770581185,True,False,False
gnn,4,17,4,0.9167874756069049,,,69,0.061515535958344025,False,False,False
gnn,4,27,1,0.6143611679412406,,,14,0.35739885794398785,False,False,False
gnn,4,27,2,0.9623200406222624,,,111,0.009439985262966077,True,True,False
gnn,4,27,3,0.9672939301241754,,,44,0.004466095761053057,True,False,False
gnn,4,27,4,0.9717600258852285,,,29,0.0,True,False,False
ann,0,7,1,-0.96787765830932,,,18,0.20540281336297506,False,False,True
ann,0,7,2,-0.9249185153105854,,,18,0.16244367036424046,False,False,True
ann,0,7,3,-0.762474844946345,,,140,0.0,True,True,True
ann,0,7,4,-2.203758893353628,,,9,1.441284048407283,False,False,True
ann,0,17,1,-3.089587992203678,,,11,2.086406316826819,False,False,True
ann,0,17,2,-1.3391646596784912,,,11,0.3359829843016322,False,False,True
ann,0,17,3,-1.0470696909739083,,,18,0.04388801559704936,False,False,True
ann,0,17,4,-1.003181675376859,,,15,0.0,True,True,True
ann,0,27,1,-0.948602023671409,,,12,0.0,True,True,True
ann,0,27,2,-2.3650137949471945,,,8,1.4164117712757855,False,False,True
ann,0,27,3,-2.657450608024374,,,8,1.7088485843529648,False,False,True
ann,0,27,4,-2.187828545142086,,,8,1.2392265214706768,False,False,True
ann,1,7,1,-3.1627462398129262,,,1,0.5784150401811154,False,False,True
ann,1,7,2,-5.244120462520773,,,8,2.6597892628889626,False,False,True
ann,1,7,3,-2.584331199631811,,,1,0.0,True,True,True
ann,1,7,4,-3.94709225689512,,,9,1.362761057263309,False,False,True
ann,1,17,1,-3.645480067937955,,,25,0.33393468804626014,False,False,True
ann,1,17,2,-3.3115453798916947,,,13,0.0,True,True,True
ann,1,17,3,-3.783805123358385,,,12,0.4722597434666902,False,False,True
ann,1,17,4,-3.972254079871636,,,10,0.6607086999799412,False,False,True
ann,1,27,1,-4.66360641013339,,,11,1.3822862314439197,False,False,True
ann,1,27,2,-3.2813201786894703,,,20,0.0,True,True,True
ann,1,27,3,-5.507039784229757,,,11,2.225719605540287,False,False,True
ann,1,27,4,-4.342236351244775,,,11,1.060916172555305,False,False,True
ann,2,7,1,0.8360098491799032,,,228,0.0,True,True,False
ann,2,7,2,0.7858087982299907,,,19,0.05020105094991245,False,False,False
ann,2,7,3,0.7873832394902822,,,17,0.04862660968962096,False,False,False
ann,2,7,4,0.7942645554835358,,,57,0.04174529369636737,False,False,False
ann,2,17,1,0.8147647939563099,,,204,0.09514728338474765,False,False,False
ann,2,17,2,0.8033412351494358,,,72,0.10657084219162172,False,False,False
ann,2,17,3,0.7796978615350456,,,42,0.1302142158060119,False,False,False
ann,2,17,4,0.9099120773410575,,,134,0.0,True,True,False
ann,2,27,1,0.7764774153939988,,,21,0.14085793173776406,False,False,False
ann,2,27,2,0.9173353471317629,,,124,0.0,True,True,False
ann,2,27,3,0.8969303942593139,,,61,0.020404952872449034,False,False,False
ann,2,27,4,0.7986466319672758,,,159,0.11868871516448709,False,False,False
ann,3,7,1,0.9535214191551783,,,286,0.03591314306179916,False,False,False
ann,3,7,2,0.9444009863915571,,,119,0.045033575825420336,False,False,False
ann,3,7,3,0.9894345622169775,,,99,0.0,True,True,False
ann,3,7,4,0.9796322021405486,,,113,0.009802360076428873,True,False,False
ann,3,17,1,0.9693439198595678,,,253,0.013942944682038716,True,True,False
ann,3,17,2,0.9775646738164491,,,181,0.00572219072515745,True,False,False
ann,3,17,3,0.9784864138681482,,,290,0.004800450673458356,True,False,False
ann,3,17,4,0.9832868645416065,,,300,0.0,True,False,False
ann,3,27,1,0.970078671502499,,,192,0.0025942307021699085,True,True,False
ann,3,27,2,0.956556086973736,,,165,0.016116815230933,True,False,False
ann,3,27,3,0.9663192734203626,,,66,0.006353628784306342,True,False,False
ann,3,27,4,0.972672902204669,,,69,0.0,True,False,False
ann,4,7,1,0.564514677947464,,,48,0.37229031043140315,False,False,False
ann,4,7,2,0.8504875009044326,,,198,0.08631748747443457,False,False,False
ann,4,7,3,0.744737961623798,,,120,0.19206702675506915,False,False,False
ann,4,7,4,0.9368049883788672,,,211,0.0,True,True,False
ann,4,17,1,0.7695043623002347,,,300,0.07443695582597587,False,False,False
ann,4,17,2,0.7373677431260779,,,153,0.10657357500013265,False,False,False
ann,4,17,3,0.8439413181262105,,,272,0.0,True,True,False
ann,4,17,4,0.6931405562989058,,,290,0.15080076182730473,False,False,False
ann,4,27,1,0.7353498883544194,,,163,0.14310968116880374,False,False,False
ann,4,27,2,0.7355227260001282,,,114,0.14293684352309488,False,False,False
