model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
ann,0.07199334724049945,0.013009918250105265,0.064671773241901,0.011018128200795738,0.30175224373258464,0.25801313894529
ann_q1,0.10197145259739486,0.06436291153962928,0.09170355043002924,0.057839145002908814,-0.7350977528031887,1.4156070746718272
ann_q2,0.08545095912387846,0.056151337083868366,0.0790637620773383,0.051237447490757156,-0.23987232223876376,1.3848876245797088
ann_q3,0.08307136723967794,0.02299180575285656,0.0714730748495108,0.014629060734710262,0.043676013088789135,0.5438794627300036
ann_q4,0.04238163240396157,0.014313289432256427,0.03534097982006339,0.011409087723499417,0.7451677208791203,0.1693179274388172
ann_selected,0.0946387609243956,0.03795977195404176,0.08900063010137634,0.03216669766015042,-0.3075464487315842,1.0539629998849611
count_categorical,0.13514896333068396,0.0,0.10837085216677782,1.6996749443881478e-17,-1.4082235192958095,0.0
count_quadratic,0.33921360451478905,0.0,0.3278434687508477,0.0,-14.171128243421295,0.0
gnn_q1,0.055727144217257545,0.008330612963172957,0.05096243567535649,0.010073413949084883,0.5844461171120808,0.1274646081328024
gnn_q2,0.052151959271983406,0.02555074974631177,0.04897622642627426,0.02523182371547783,0.5840145297860326,0.30512911061206915
gnn_q3,0.04765204740614947,0.019095788855243902,0.04430809567222044,0.021362795448643036,0.6685599203575783,0.26733454898477216
gnn_q4,0.021697372396547735,0.0064958468965505955,0.01689165470755919,0.006655370692524739,0.9342204873114547,0.03399651479448826
gnn_selected,0.04559626048409349,0.020867922163811867,0.04044723147693096,0.019181849420023087,0.687609834597288,0.23488686798834887
individual_forest_N,0.10282524009002574,0.00017098985140909538,0.09151431452902191,0.00010709955530836463,-0.3940283984275245,0.004638148629502071
individual_forest_Nc,0.10282524009002574,0.00017098985140909538,0.09151431452902191,0.00010709955530836463,-0.3940283984275245,0.004638148629502071
individual_forest_Rg_over_d,0.18114274781960324,0.00030983137248459254,0.15457049722964608,0.0002473741216529872,-3.32627483986967,0.014803315523833366
individual_forest_contact_density,0.10282524009002565,0.00017098985140904282,0.09151431452902187,0.00010709955530831734,-0.39402839842752296,0.004638148629500766
individual_forest_max_coordination,0.11030491419963366,0.00017392618565661985,0.09411171121367361,0.0001522580374442703,-0.6042121382750016,0.005058797376971235
individual_forest_mean_coordination,0.10282524009002574,0.00017098985140909538,0.09151431452902191,0.00010709955530836463,-0.3940283984275245,0.004638148629502071
individual_linear_N,0.16214543113003407,0.0,0.1367721146689521,0.0,-2.4664168538345255,0.0
individual_linear_Nc,0.16214543113003407,0.0,0.1367721146689521,0.0,-2.4664168538345255,0.0
individual_linear_Rg_over_d,0.15265709185566081,0.0,0.13854302038616606,0.0,-2.0725950421723445,0.0
individual_linear_contact_density,0.09686703941327017,1.6996749443881478e-17,0.08742907536824544,1.6996749443881478e-17,-0.23715298923209294,0.0
individual_linear_max_coordination,0.10627540054337221,0.0,0.08952753942277696,1.6996749443881478e-17,-0.48914455174885507,0.0
individual_linear_mean_coordination,0.09686698722027698,0.0,0.08742903563181559,0.0,-0.23715165605002153,0.0
linear,0.12074152410239615,0.0,0.10105953986379836,0.0,-0.9221384359796905,0.0
random_forest,0.1535718869072875,0.00362539606513379,0.13385778167379583,0.0029299826088358826,-2.1106856166874786,0.14609386417179768
random_forest_v9,0.15612434518901633,0.0012716568459243986,0.1360376104698907,0.0008412814236894076,-2.213896034281858,0.05223543229459763
training_mean,0.1351530255057877,0.0,0.10837309505532243,0.0,-1.4083682895167788,0.0
