case,n,steps,final_time_s,initial_bonds,final_bonds,bonds_unchanged,particle_snapshots,bond_snapshots,initial_ke_fJ,final_ke_fJ,ke_ratio,aligned_rms_displacement_over_diameter,relative_rg_change,max_overlap_over_diameter,passed
bpca_N0050_sample01,50,20000,2e-06,49,49,True,3,3,3.8738900759978726e-05,3.1016206013575364e-10,8.006475507848767e-06,1.5890977831050382e-05,-7.802647338239765e-07,1.6210050191034497e-08,True
bpca_N0050_sample02,50,20000,2e-06,49,49,True,3,3,4.214116967846994e-05,1.8320935753449174e-10,4.347514768392725e-06,1.619170781868798e-05,3.754479527273702e-08,2.071470983633361e-08,True
bpca_N0050_sample03,50,20000,2e-06,49,49,True,3,3,4.653592056553115e-05,3.3062738375507773e-10,7.10477798090388e-06,1.6053017815569814e-05,9.171923254225334e-07,1.914723546381225e-08,True
bpca_N0050_sample04,50,20000,2e-06,49,49,True,3,3,4.023487692735369e-05,5.727417400535728e-10,1.423495692773436e-05,1.7774284142575157e-05,-2.6379987749791667e-08,1.813434069575237e-08,True
bpca_N0050_sample05,50,20000,2e-06,49,49,True,3,3,5.195906891916641e-05,5.687051018279284e-10,1.0945251977333782e-05,1.9182655146056987e-05,7.264214931801405e-07,1.6271286651381445e-08,True
bpca_N0050_sample06,50,20000,2e-06,49,49,True,3,3,4.232286953231568e-05,4.013738295348912e-10,9.483615689820411e-06,1.4509424452405489e-05,9.485674001830091e-08,1.2633420642949034e-08,True
bpca_N0050_sample07,50,20000,2e-06,49,49,True,3,3,3.526191820238122e-05,5.391862766427133e-10,1.5290894657180117e-05,1.6827987852555243e-05,-7.363983945962715e-07,3.186645158859136e-08,True
bpca_N0050_sample08,50,20000,2e-06,49,49,True,3,3,3.62916777542598e-05,4.452050920964928e-10,1.2267415552157437e-05,1.2533176347511956e-05,5.8274289171933447e-08,1.7267898555495265e-08,True
bpca_N0050_sample09,50,20000,2e-06,49,49,True,3,3,4.317953136194766e-05,4.2737267493494454e-10,9.897575574698582e-06,1.4599229908840913e-05,6.284261089284371e-08,1.762322199283517e-08,True
bpca_N0050_sample10,50,20000,2e-06,49,49,True,3,3,5.02022794546199e-05,4.6438777673791955e-10,9.250332490533633e-06,2.1296543567344196e-05,2.3233541250888834e-06,1.1269014055237392e-08,True
bpca_N0050_sample11,50,20000,2e-06,49,49,True,3,3,4.726520725838937e-05,4.170609245182519e-10,8.823846307036461e-06,1.3830262365109274e-05,-1.178303651316881e-07,1.3544262600362345e-08,True
bpca_N0050_sample12,50,20000,2e-06,49,49,True,3,3,4.4778648491089194e-05,2.369706853954453e-10,5.2920463966794725e-06,2.3942547491197345e-05,-1.2844329588812542e-07,2.465246662364251e-08,True
bpca_N0050_sample13,50,20000,2e-06,49,49,True,3,3,3.3438652263386654e-05,1.6529090283746032e-10,4.943108996604031e-06,1.4772906985091591e-05,2.108800651878795e-07,2.2752653427993152e-08,True
